Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,PR,PR_Function,PR_Benefit,PR Benefit Rating
0,0,0,0,0,0,0,0,0,0,0,2.3,55.0,48.7,0,10.0,2,10.0,2
1,1,1,1,0,1,1,0,1,1,0,2.3,55.0,48.7,1,4.24,1,0.0,0
1,1,2,2,1,1,1,1,1,2,1,2.3,55.0,48.7,2,3.822553321972724,1,7.013614551211226,2
0,0,0,0,0,2,2,0,0,3,0,2.3,55.0,250.0,0,10.0,2,0.0,0
0,2,0,0,0,0,0,0,0,0,0,2.3,55.0,94.3,0,10.0,2,10.0,2
2,3,0,0,2,1,0,0,0,0,0,2.3,55.0,94.0,0,10.0,2,0.0,0
0,2,0,0,0,0,0,0,0,0,0,2.3,55.0,88.0,0,10.0,2,10.0,2
0,0,0,1,2,1,0,0,0,4,0,2.3,55.0,86.3,0,10.0,2,10.0,2
2,4,1,3,0,1,2,0,0,2,0,2.3,55.0,80.7,1,6.467487378497618,2,0.0,0
3,5,0,4,0,3,0,0,0,4,1,2.3,55.0,71.0,1,8.83,2,0.0,0
0,2,0,0,2,2,2,0,0,4,0,2.3,55.0,58.3,1,10.0,2,0.0,0
2,4,0,0,2,1,2,0,0,5,0,2.3,55.0,58.0,1,5.96,2,0.0,0
2,4,0,1,2,1,0,0,0,4,0,2.3,55.0,55.0,0,5.2,1,0.0,0
0,0,0,1,2,1,0,0,0,3,0,2.3,55.0,53.3,0,10.0,2,0.0,0
2,3,3,1,2,1,2,0,0,6,0,2.3,55.0,42.7,3,3.465797362260997,1,5.686471199353573,2
3,6,0,4,0,3,2,0,2,4,0,2.3,55.0,32.7,1,6.277232368016703,2,0.0,0
4,6,3,5,2,2,3,0,2,4,0,2.3,55.0,27.0,1,4.82,1,0.0,0
1,7,1,1,1,1,1,0,2,5,0,2.3,55.0,26.7,4,5.89,2,6.9,2
2,4,0,1,0,1,2,0,2,4,0,2.3,55.0,26.0,1,10.0,2,0.0,0
4,5,3,5,2,0,1,2,1,4,0,2.3,55.0,22.3,4,4.73,1,6.46,2
1,7,1,1,0,1,1,3,2,1,0,2.3,55.0,21.0,1,4.78,1,2.02,1
1,1,3,1,2,1,3,0,2,2,0,2.3,20.0,20.0,1,4.0,1,0.0,0
4,5,3,5,0,0,4,0,1,4,0,2.3,55.0,18.3,1,2.83,0,6.69,2
4,6,3,5,0,1,2,0,1,0,1,2.3,55.0,0.0,1,5.84,2,0.0,0
3,6,0,4,0,3,3,0,1,4,0,2.3,55.0,0.0,5,3.19,1,10.0,2
0,2,0,0,0,1,0,0,0,3,0,17.7,127.0,109.3,0,10.0,2,0.0,0
3,5,2,2,1,3,3,1,0,4,1,12.2,80.7,68.5,2,6.518667088919388,2,2.990880757243449,1
2,4,3,1,2,1,0,0,0,4,0,11.7,151.3,139.6,0,4.563335015589712,1,0.0,0
1,7,2,2,1,0,2,1,0,5,1,11.7,90.0,78.3,2,4.205566698335621,1,0.0,0
4,5,2,2,1,1,0,1,0,3,1,11.7,67.0,55.3,2,10.0,2,0.0,0
