Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,NR,NR_Function
1,1,1,1,0,1,1,0,1,1,0,2.3,55.0,48.7,1,3.56,1
1,1,2,2,1,1,1,1,1,2,1,2.3,55.0,48.7,2,1.870019156612679,0
2,4,1,3,0,1,2,0,0,2,0,2.3,55.0,80.7,1,2.071467784518323,0
3,5,0,4,0,3,0,0,0,4,1,2.3,55.0,71.0,1,1.71,0
2,4,0,0,2,1,2,0,0,5,0,2.3,55.0,58.0,1,2.06,0
2,4,0,1,2,1,0,0,0,4,0,2.3,55.0,55.0,0,2.0,0
2,3,3,1,2,1,2,0,0,6,0,2.3,55.0,42.7,3,1.446186753416801,0
3,6,0,4,0,3,2,0,2,4,0,2.3,55.0,32.7,1,3.129860630717715,1
4,6,3,5,2,2,3,0,2,4,0,2.3,55.0,27.0,1,0.7,0
1,7,1,1,1,1,1,0,2,5,0,2.3,55.0,26.7,4,2.52,1
4,5,3,5,2,0,1,2,1,4,0,2.3,55.0,22.3,4,1.18,0
1,7,1,1,0,1,1,3,2,1,0,2.3,55.0,21.0,1,1.874014641848722,0
1,1,3,1,2,1,3,0,2,2,0,2.3,20.0,20.0,1,3.48,1
4,5,3,5,0,0,4,0,1,4,0,2.3,55.0,18.3,1,2.68,1
4,6,3,5,0,1,2,0,1,0,1,2.3,55.0,0.0,1,1.04,0
3,6,0,4,0,3,3,0,1,4,0,2.3,55.0,0.0,5,-0.15,0
3,5,2,2,1,3,3,1,0,4,1,12.2,80.7,68.5,2,0.832566522426146,0
2,4,3,1,2,1,0,0,0,4,0,11.7,151.3,139.6,0,3.108100455389207,1
1,7,2,2,1,0,2,1,0,5,1,11.7,90.0,78.3,2,2.498158157442558,1
2,4,1,1,3,1,2,0,0,5,0,10.0,62.7,52.7,0,2.744355814821626,1
2,4,1,1,2,1,2,0,0,5,0,9.0,408.0,399.0,6,2.41,1
