Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,WS_Benefit,WS Benefit Score
0,0,0,0,0,0,0,0,0,0,0,2.3,55.0,48.7,0,3.74,1
1,1,2,2,1,1,1,1,1,2,1,2.3,55.0,48.7,2,4.070118764845606,1
2,3,0,0,2,1,0,0,0,0,0,2.3,55.0,94.0,0,5.31,1
2,4,1,3,0,1,2,0,0,2,0,2.3,55.0,80.7,1,3.9491007804547,1
3,5,0,4,0,3,0,0,0,4,1,2.3,55.0,71.0,1,4.17,1
4,5,3,5,2,0,1,2,1,4,0,2.3,55.0,22.3,4,5.26,1
1,7,1,1,0,1,1,3,2,1,0,2.3,55.0,21.0,1,3.71,1
3,6,0,4,0,3,3,0,1,4,0,2.3,55.0,0.0,5,3.72,1
4,6,1,5,0,2,2,0,2,1,0,6.3,31.7,25.4,1,3.95,1
0,0,0,4,2,3,0,0,0,4,0,6.0,67.0,61.0,0,3.99,1
2,4,0,0,3,1,0,0,0,3,0,5.7,97.7,92.0,1,3.32,1
1,7,1,0,0,1,2,0,0,1,0,5.3,100.7,95.4,4,3.85,1
2,4,0,0,0,0,2,0,0,4,0,5.0,85.7,80.7,1,4.02,1
4,6,1,5,0,2,3,0,2,5,0,3.0,27.0,24.0,4,3.9,1
2,4,0,1,0,1,2,0,0,4,0,2.7,143.3,140.6,1,3.485198506956227,1
2,4,1,4,0,0,2,0,0,5,0,2.0,103.7,101.7,1,3.14,1
4,6,1,5,0,1,2,3,0,1,0,2.0,38.7,36.7,1,3.95,1
1,1,1,0,2,1,3,0,1,1,0,2.0,34.0,32.0,1,3.84,1
3,6,3,4,2,0,2,0,0,4,2,1.7,41.3,39.59999999999999,0,3.14231421784866,1
4,5,1,5,2,1,1,0,0,1,0,0.0,500.0,500.0,6,3.52,1
1,7,1,1,0,1,1,0,0,1,0,0.0,118.0,118.0,1,4.37,1
1,7,1,0,2,1,1,0,0,1,0,0.0,96.7,96.7,1,3.16,1
4,5,2,2,1,2,1,1,0,4,1,0.0,85.3,85.3,2,3.465028842891076,1
1,7,1,1,0,2,4,0,0,1,0,0.0,64.0,64.0,1,3.82,1
1,7,3,1,0,1,1,0,0,4,2,0.0,48.7,48.7,7,5.603013233797082,2
3,6,0,4,0,3,2,0,2,3,3,0.0,31.7,31.7,12,3.55,1
4,6,3,0,1,1,4,0,2,4,0,0.0,31.3,31.3,9,5.280298608754666,1
1,1,1,1,0,1,1,0,2,2,0,0.0,21.7,21.7,8,4.47,1
4,6,1,0,0,0,3,0,1,4,1,0.0,14.0,14.0,4,3.65,1
4,6,1,5,2,1,1,0,1,5,0,0.0,9.7,9.7,1,5.79,2
4,6,2,2,1,2,4,1,1,4,1,0.0,0.0,0.0,2,3.565877163216831,1
