Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,WS,WS_Function
0,0,0,0,0,0,0,0,0,0,0,2.3,55.0,48.7,0,8.42,2
1,1,1,1,0,1,1,0,1,1,0,2.3,55.0,48.7,1,4.46,1
1,1,2,2,1,1,1,1,1,2,1,2.3,55.0,48.7,2,0.01355166572557872,0
0,0,0,0,0,2,2,0,0,3,0,2.3,55.0,250.0,0,7.43,2
0,2,0,0,0,0,0,0,0,0,0,2.3,55.0,94.3,0,9.01,2
2,3,0,0,2,1,0,0,0,0,0,2.3,55.0,94.0,0,9.01,2
0,2,0,0,0,0,0,0,0,0,0,2.3,55.0,88.0,0,6.64,2
0,0,0,1,2,1,0,0,0,4,0,2.3,55.0,86.3,0,6.101778656126483,1
2,4,1,3,0,1,2,0,0,2,0,2.3,55.0,80.7,1,0.1383399209486164,0
3,5,0,4,0,3,0,0,0,4,1,2.3,55.0,71.0,1,7.43,2
0,2,0,0,2,2,2,0,0,4,0,2.3,55.0,58.3,1,6.927583286278939,2
2,4,0,0,2,1,2,0,0,5,0,2.3,55.0,58.0,1,3.77,1
2,4,0,1,2,1,0,0,0,4,0,2.3,55.0,55.0,0,4.54,1
0,0,0,1,2,1,0,0,0,3,0,2.3,55.0,53.3,0,8.221343873517789,2
2,3,3,1,2,1,2,0,0,6,0,2.3,55.0,42.7,3,2.61829474872953,0
3,6,0,4,0,3,2,0,2,4,0,2.3,55.0,32.7,1,4.229249011857707,1
4,6,3,5,2,2,3,0,2,4,0,2.3,55.0,27.0,1,3.4,1
1,7,1,1,1,1,1,0,2,5,0,2.3,55.0,26.7,4,2.19,0
2,4,0,1,0,1,2,0,2,4,0,2.3,55.0,26.0,1,7.065923207227555,2
4,5,3,5,2,0,1,2,1,4,0,2.3,55.0,22.3,4,1.6,0
1,7,1,1,0,1,1,3,2,1,0,2.3,55.0,21.0,1,1.11,0
1,1,3,1,2,1,3,0,2,2,0,2.3,20.0,20.0,1,5.12,1
4,5,3,5,0,0,4,0,1,4,0,2.3,55.0,18.3,1,3.0,1
4,6,3,5,0,1,2,0,1,0,1,2.3,55.0,0.0,1,4.6,1
0,2,0,0,0,1,0,0,0,3,0,17.7,127.0,109.3,0,7.080039525691701,2
3,5,2,2,1,3,3,1,0,4,1,12.2,80.7,68.5,2,0.4703557312252964,0
2,4,3,1,2,1,0,0,0,4,0,11.7,151.3,139.6,0,3.147939017504235,1
1,7,2,2,1,0,2,1,0,5,1,11.7,90.0,78.3,2,0.6024844720496896,0
4,5,2,2,1,1,0,1,0,3,1,11.7,67.0,55.3,2,6.640316205533598,2
2,4,0,4,2,2,0,0,0,4,0,10.7,56.7,46.0,0,7.080039525691701,2
2,4,2,2,1,0,0,1,0,3,1,10.3,61.3,51.0,2,5.479249011857707,1
0,0,0,0,2,1,0,0,0,4,0,10.0,98.7,88.7,1,6.55,2
2,4,1,1,3,1,2,0,0,5,0,10.0,62.7,52.7,0,4.630152456239413,1
0,2,0,0,2,1,0,0,0,4,0,10.0,62.7,52.7,0,6.620553359683794,2
0,0,0,0,2,1,0,0,0,3,0,10.0,44.0,34.0,0,8.22,2
2,3,2,2,1,1,2,1,0,4,1,9.8,300.3,290.5,2,5.50395256916996,1
0,2,0,1,2,1,0,0,0,3,0,9.7,67.3,57.59999999999999,1,6.27,1
3,5,2,2,1,0,0,1,0,3,1,9.3,500.0,500.0,2,9.209486166007906,2
2,4,1,1,2,1,2,0,0,5,0,9.0,408.0,399.0,6,4.33,1
3,5,2,2,1,3,2,1,0,3,1,9.0,73.8,64.8,2,6.640316205533598,2
2,3,0,0,2,1,2,0,0,4,0,8.7,66.7,58.0,1,4.88,1
2,3,0,1,0,1,0,0,0,5,0,8.3,500.0,500.0,7,2.396950875211744,0
0,8,2,2,1,0,0,1,0,3,1,8.3,107.3,99.0,2,7.430830039525692,2
2,3,1,4,0,0,2,0,0,5,0,8.3,82.3,74.0,1,1.2,0
2,4,0,0,0,0,0,0,0,3,0,8.3,79.3,71.0,0,7.87,2
2,4,1,1,0,1,2,0,0,1,0,8.3,70.0,61.7,5,1.71,0
0,8,0,0,2,1,0,0,0,5,0,8.0,64.0,56.0,0,2.88,1
0,8,2,2,1,1,0,1,0,3,1,7.8,128.7,120.9,2,6.640316205533598,2
2,3,1,0,2,1,2,0,0,5,0,7.7,500.0,500.0,1,4.402879728966687,1
0,0,0,4,0,3,2,0,0,4,0,7.7,257.7,250.0,0,9.21,2
0,2,0,1,2,1,0,0,0,4,0,7.7,229.7,222.0,1,6.546442687747036,2
0,0,0,4,2,2,0,0,0,3,0,7.7,179.0,171.3,0,6.35,1
0,8,2,2,1,1,3,1,0,3,1,7.7,97.7,90.0,2,7.430830039525692,2
2,3,0,0,3,1,0,0,0,3,0,7.7,68.3,60.6,1,6.28,1
2,3,0,1,2,1,2,1,0,4,0,7.7,63.5,55.8,7,0.38,0
3,6,0,4,3,3,2,0,1,5,0,7.7,31.0,23.3,1,0.52,0
0,0,0,0,0,1,0,0,0,3,0,7.3,213.0,205.7,0,8.22,2
2,3,0,0,3,1,0,0,0,3,0,7.3,68.7,61.4,1,6.28,1
3,5,1,4,0,3,2,0,0,5,0,7.3,53.7,46.4,1,3.73,1
4,6,1,0,2,2,0,0,2,5,0,7.3,23.3,16.0,8,5.021456804065501,1
0,2,0,0,2,1,0,0,0,4,0,7.0,264.0,257.0,0,6.546442687747036,2
2,4,0,0,0,1,0,0,0,0,1,7.0,70.0,63.0,0,1.36,0
0,0,0,1,2,1,0,0,0,4,0,6.7,115.3,108.6,0,6.74407114624506,2
2,4,0,1,2,1,0,0,0,5,0,6.7,105.0,98.3,6,2.94,1
0,0,0,4,2,0,0,0,0,3,0,6.3,97.0,90.7,0,5.48,1
3,6,0,4,3,3,0,0,2,4,0,6.3,32.7,26.4,8,5.48,1
4,6,0,5,0,2,3,0,2,5,0,6.3,31.7,25.4,1,0.86,0
4,6,1,5,0,2,2,0,2,1,0,6.3,31.7,25.4,1,1.51,0
0,8,2,2,1,2,3,1,0,3,1,6.2,35.3,29.1,2,4.268774703557312,1
2,4,1,0,0,1,2,0,0,1,0,6.0,78.0,72.0,1,3.73,1
0,0,0,4,2,3,0,0,0,4,0,6.0,67.0,61.0,0,5.06,1
3,5,1,4,0,3,2,0,0,5,0,6.0,58.3,52.3,1,4.21,1
3,5,0,4,3,0,0,0,0,3,0,6.0,57.7,51.7,1,6.28,1
0,0,0,0,0,2,2,0,0,4,0,6.0,57.0,51.0,0,5.31,1
2,4,0,4,3,2,0,0,0,3,0,5.7,243.0,237.3,1,6.28,1
2,4,0,0,3,1,0,0,0,3,0,5.7,97.7,92.0,1,6.28,1
