ID,OF1,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF12,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF29,OF30,OF31,OF32,OF33,OF34,OF35,OF36,OF37,OF38,F1,F2,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,S1,S2,S3,S4,S5,S6,PC,FC,WRI,SVT,VCHWC,HWCC,MC,PP,ST,SWP,DP,ADLM,ATDO,AOD,WS,WS_Function,WS_Benefit ,WS Benefit Score ,SFTS,SFS_Function,SFS_Benefit ,SFS Benefit Score,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WFR,WFR_Function,WFR_Benefit,WFR_Benefit Rating,CSP,CSP_Function,CC,CC_Function,OE,OE_Function,APP,APP_Function,APP_Benefit,APP Benefit Rating,FA,FA_Function,FA_Benefit,FA Benefit Rating ,FR,FR_Function,FR_Benefit,FR Benefit Rating ,AM,AM_Function,AM_Benefit,AM Benefit Rating,WBF,WBF_Function,WBF_Benefit,WBF Benefit Rating,WBN,WBN_Function,WBN_Benefit,WBN Benefit Rating,RSB,RSB_Function,RSB_Benefit,RSB Benefit Rating,KMH,KMH_Function,KMH_Benefit,KMH Benefit Rating,PH,PH_Function,PH_Benefit,PH Benefit Rating,POL,POL_Function,POL_Benefit,POL Benefit Rating,CRI_Benefit,PU Benefit Rating,Sens_Benefit,Sens Benefit Rating,STR_Benefit,STR Benefit Rating
4,0,3,3,6,0,3,0,4,4,2,1,0.0,3,4,5,4,3,0.66,1.0,3,3,1,0,2,0,4,1357,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,2,3,0,0,1,1,1,3,3,0,23,2,2,1,0,1,0,0,1,1,2,1,1,0,0,1,3,3,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0,2,1,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,2,6.19,29.0,0.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.3,29.3,28.0,2.3,0,0.0,0,7.59,2,0.0,0,3.09,0,10.0,2,3.55,1,10.0,2,2.88,1,10.0,2,4.93,1.0,0,0,5.6,1,4.97,1,7.48,1,3.99,1,10.0,2,0.0,0,0.0,0,9.32,2,0.0,0,5.8,1,8.27,2,5.53,1,10.0,2,5.83,1,10.0,2,9.54,2,7.59,2,10.94,2,0.0,0,9.62,2,10.0,2,9.65,2,10.0,2,0.0,0,5.26,1,0.0,0
5,0,1,4,6,0,0,0,4,4,2,1,0.0,2,4,5,3,3,0.75,0.0,3,3,1,0,2,0,3,1337,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,2,0,1,0,1,5,1,1,1,0,18,3,0,0,0,0,0,0,4,1,2,1,2,1,0,1,3,2,0,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1.0,2,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,1,5.5780957446808515,101.0,0.21428571428571427,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,1,0.0,27.3,27.3,5.86,1,0.0,0,3.61,1,0.0,0,2.31,0,0.0,2,4.22,1,0.0,0,2.12,0,0.0,0,2.09,1.0,0,0,6.73,1,5.18,1,5.64,1,1.76,0,10.0,2,0.0,0,0.0,0,5.32,1,0.0,0,5.51,1,3.87,1,4.51,1,10.0,2,0.0,0,0.0,0,7.68,2,0.0,2,10.94,2,0.0,0,9.53,2,2.72,0,9.89,2,0.0,0,0.0,0,6.2,1,0.0,0
6,0,0,4,6,0,0,0,4,4,2,2,0.0,6,5,5,4,3,0.73,0.0,3,3,0,0,2,0,3,1418,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,2,0,2,1,1,4,1,2,0,0,23,3,0,0,0,0,0,0,3,1,0,1,1,1,0,1,3,3,1,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.0,1,2,1,4,0,0,4,0,1,0,0,5,0,0,0,6,0.0,0,5.82,20.0,1.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,2,0.0,9.0,9.0,2.14,0,0.0,0,7.34,2,4.68,1,2.78,0,0.0,0,3.17,1,0.0,2,2.36,1,0.0,0,5.92,2.0,0,0,5.92,2,5.82,1,8.23,1,4.51,1,10.0,2,0.0,0,0.0,0,9.75,2,0.0,0,0.78,0,3.95,2,0.0,0,0.0,0,0.0,0,0.0,0,9.35,2,0.0,0,4.33,1,10.0,2,9.34,2,2.92,0,9.75,2,0.0,0,0.0,0,7.92,2,0.0,0
7,0,0,4,6,0,3,0,3,0,0,4,0.0,6,5,5,4,3,0.42,0.0,3,3,0,0,2,0,3,1340,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,2,0,2,0,0,3,0,3,2,0,18,2,1,2,0,1,0,0,3,0,2,1,2,1,0,2,2,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0.0,0,2,0,4,0,0,3,0,1,0,0,5,0,0,0,6,0.0,2,7.13,85.0,0.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,2,0,1,0.0,46.7,46.7,2.19,0,0.0,0,7.43,2,0.0,0,3.18,0,4.33,1,3.94,1,6.13,2,3.17,1,10.0,2,5.09,1.0,10,2,7.07,2,6.16,1,8.2,1,4.15,1,5.66,2,0.0,0,0.0,0,9.34,2,0.0,0,0.94,0,7.8,2,0.0,0,0.0,0,6.51,1,10.0,2,9.38,2,8.24,2,10.94,2,10.0,2,9.68,2,10.0,2,9.9,2,10.0,2,0.0,0,8.47,2,1.87,0
12,0,3,4,6,0,3,0,3,4,2,3,0.0,5,3,5,4,3,0.66,0.0,0,0,1,0,2,0,3,1357,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,1,2,1,0,2,1,2,3,3,1,1,3,2,0,0,0,0,0,1,3,1,1,0,0,1,0,2,1,1,1,1,0,0,1,4,1,4,1,4,2,4,1,1,0,1,1,1,0,1,0,1,0.0,0,2,0,4,0,0,4,0,1,0,0,5,0,0,0,6,0.0,3,4.16,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,0,0,2,0,2,2,2,9.0,408.0,399.0,4.33,1,0.0,0,4.72,1,0.0,0,3.67,1,10.0,2,4.93,1,10.0,2,2.41,1,10.0,2,6.42,2.0,0,0,7.55,2,6.63,2,7.17,1,4.4,1,10.0,2,0.0,0,0.0,0,7.81,2,0.0,0,3.18,1,10.0,2,8.07,2,10.0,2,7.22,1,10.0,2,9.59,2,7.7,2,10.94,2,7.5,2,5.39,1,10.0,2,9.69,2,10.0,2,0.0,0,5.6,1,1.62,0
16,0,0,4,6,0,3,0,4,4,2,1,0.0,5,4,5,4,3,0.6,0.0,3,3,0,0,2,0,3,1418,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,3,2,1,0,1,0,1,2,4,0,23,2,3,1,1,1,0,0,1,2,2,1,0,0,0,1,2,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.0,1,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,1,6.17,33.0,0.21428571428571427,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,1,1,0,3,0,2,0,2,1.7,62.0,60.3,2.06,0,0.0,0,7.5,2,2.95,1,2.7,0,4.23,1,3.33,1,5.97,2,2.94,1,4.62,1,5.78,2.0,0,0,7.0,1,6.85,2,8.01,1,5.22,1,7.52,2,0.0,0,0.0,0,9.24,2,0.0,0,4.0,1,6.89,2,0.0,0,0.0,0,7.43,1,10.0,2,9.73,2,7.7,2,10.94,2,7.5,2,10.07,2,10.0,2,9.54,2,10.0,2,0.0,0,3.97,1,2.11,0
17,0,1,4,6,0,3,0,4,4,2,2,0.0,6,4,5,4,3,0.55,0.0,3,3,0,0,2,0,2,1407,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,3,2,1,0,1,1,1,2,4,1,23,3,3,1,0,0,0,0,1,1,1,1,2,0,1,1,3,3,2,0,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.0,0,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,3,6.35,63.0,1.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,2,4,2,1,0,0,0,0,0,2,2,0.0,28.7,28.7,5.11,1,0.0,0,4.12,1,0.0,1,2.25,0,4.26,1,3.56,1,6.01,2,4.12,2,4.62,1,7.12,2.0,0,0,6.11,1,6.35,1,5.84,1,4.77,1,7.32,2,0.0,0,0.0,0,9.83,2,0.0,0,1.18,0,10.0,2,7.2,2,10.0,2,7.45,2,10.0,2,7.87,2,8.24,2,10.94,2,10.0,2,9.94,2,10.0,2,9.68,2,10.0,2,0.0,0,4.44,1,2.01,0
18,0,2,5,6,0,3,0,4,4,2,4,1.0,2,4,5,4,3,0.01,0.0,3,3,1,0,2,2,3,1426,1,5,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1,3,2,0,0,0,0,0,3,4,2,21,3,3,2,0,1,0,0,1,1,1,1,1,1,0,1,3,2,2,1,2,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.007692307692307693,0,6.02,137.21428571428572,0.21428571428571427,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,2,4,2,1,0,0,0,0,0,3,2,0.0,25.0,25.0,4.91,1,0.0,0,4.32,1,4.66,1,3.68,1,0.0,0,5.67,2,0.0,0,4.04,1,0.0,0,6.4,2.0,0,0,5.83,1,6.06,1,6.62,1,4.23,1,4.36,1,7.44,1,3.0,1,9.95,2,0.0,0,8.04,2,8.36,2,8.79,2,10.0,2,8.44,2,10.0,2,8.7,2,7.12,2,4.64,1,0.0,0,11.35,2,10.0,2,9.7,2,10.0,2,0.0,0,6.08,1,0.0,0
22,0,3,4,6,0,3,0,4,4,2,3,0.0,3,2,5,4,3,0.71,0.0,3,3,0,0,2,0,3,1523,0,0,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,3,2,1,1,1,2,0,2,4,0,2,2,3,1,0,1,0,0,1,1,2,1,1,0,0,0,3,3,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.0,1,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,3,6.31,61.0,0.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,1,0,0,0,0,0,0,2,0.0,21.3,21.3,5.03,1,0.0,0,4.11,1,0.0,0,2.11,0,4.17,1,4.07,1,5.87,2,3.17,1,4.62,1,5.05,1.0,0,0,6.23,1,7.04,2,5.99,1,4.25,1,10.0,2,0.0,0,0.0,0,9.0,2,0.0,0,5.73,1,8.48,2,7.08,1,10.0,2,7.15,1,10.0,2,9.43,2,7.43,2,10.94,2,0.0,0,10.49,2,10.0,2,9.54,2,10.0,2,0.0,0,0.0,0,1.96,0
27,0,1,4,6,0,0,0,4,4,2,2,0.0,4,5,5,4,3,0.75,0.0,3,3,1,0,2,0,3,1363,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,2,0,5,0,5,0,1,1,1,2,21,2,0,0,0,0,0,0,0,3,0,1,0,1,0,1,3,1,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,2,2,0,4,0,0,4,0,1,0,3,0,0,0,0,6,0.007692307692307693,1,5.5780957446808515,137.21428571428572,0.21428571428571427,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,1,1,2,0,0,1,2,2.3,23.3,21.0,6.35,1,0.0,0,0.0,0,0.0,0,10.0,2,0.0,0,10.0,0,0.0,0,10.0,0,0.0,0,0.94,0.0,0,0,9.16,2,3.92,1,0.0,0,-1.66,0,7.2,2,0.0,0,0.0,0,3.9,1,5.69,2,3.04,1,3.94,1,3.76,1,10.0,2,0.0,0,0.0,0,7.68,2,0.0,0,10.94,2,7.5,2,7.77,2,2.73,0,9.98,2,0.0,0,0.0,0,9.11,2,0.0,0
