OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F43,F44,F45,F48,F49,F54,F65,S5,NR
5,0.07,2,1,4,2272,3,0,2,0,4,0,2,2,1,4,1,3,1,2,4,5,2,1,0,0,0,1,1,1,1,1,1,0,0,6.176
5,0.22,2,3,4,2272,4,0,0,0,0,2,0,5,4,2,1,1,2,1,4,3,2,5,5,2,3,1,2,0,1,2,1,0,0,4.88
5,0.13,1,2,4,2314,4,0,0,0,0,0,2,5,4,1,1,1,3,1,4,2,2,4,0,0,0,1,1,2,1,1,1,0,0,5.678
2,0.0356,2,3,6,2180,2,0,0,3,0,1,4,0,1,1,1,3,3,1,2,5,1,5,0,0,0,2,1,4,3,2,6,0,0,4.226
2,0.08,1,2,4,2062,3,0,1,0,4,0,2,1,3,3,1,2,1,3,2,4,3,1,0,0,0,1,2,4,3,2,1,0,0,4.514
2,0.49,2,1,4,1846,4,0,0,1,3,0,1,5,3,2,2,3,3,2,3,2,2,4,5,3,3,1,2,3,3,1,6,0,0,5.283
2,0.3008,3,1,4,1936,4,1,0,0,2,0,2,5,4,2,2,3,4,3,3,4,2,4,5,4,1,1,1,1,3,1,1,6.83,0,5.585
2,0.51,2,2,4,1657,3,0,0,0,4,0,2,3,3,4,1,1,3,2,3,4,2,1,0,0,0,1,2,2,3,1,1,7.09,0,4.404
5,0.43,2,3,4,1342,3,5,2,1,1,1,1,0,3,4,2,2,3,4,2,3,2,2,0,0,0,1,2,5,3,2,1,7.35,0,5.031
5,0.52,2,3,4,1985,3,4,3,1,1,1,1,0,3,3,2,2,1,3,2,3,2,2,0,0,0,2,2,4,3,2,1,6.56,0,5.282
2,0.08,2,2,3,1757,3,0,0,0,4,0,2,3,3,4,1,3,2,2,2,5,1,1,0,0,0,1,2,3,3,1,1,6.705,0,4.316
2,0.59,2,3,4,1985,2,1,0,1,0,1,4,2,4,1,1,1,4,4,2,1,2,2,4,5,3,1,2,5,3,1,1,6.85,0,4.953
1,0.38,1,1,4,1833,4,0,0,2,1,0,1,5,3,1,2,3,4,2,5,2,1,5,5,3,1,1,2,5,3,1,2,6.64,0,5.108
5,0.07,2,1,4,1426,4,1,0,0,1,0,3,3,4,4,1,2,3,4,3,1,3,4,4,5,2,1,1,3,3,1,1,6.43,0,6.337
4,0.23,2,3,4,1815,4,0,0,0,2,0,2,5,3,1,1,2,2,2,4,1,2,5,3,5,2,1,1,3,3,1,1,5.19,0,6.044
1,0.72,3,3,4,1455,2,1,0,1,0,1,1,4,4,1,1,1,3,4,3,1,2,5,5,4,3,1,1,1,2,1,1,6.43,0,5.508
5,0.66,2,2,4,1357,2,1,0,2,1,2,3,3,4,1,1,1,3,2,2,2,2,5,5,3,2,2,1,2,3,1,1,4.16,0,5.522
2,0.079,1,1,0,1666,3,2,0,1,5,0,1,1,3,4,1,3,4,3,3,3,2,1,0,3,1,1,1,5,3,3,6,5.28,0,4.807
3,0.56,1,3,4,1345,3,3,0,2,2,1,2,2,3,2,3,3,1,4,2,2,2,2,4,3,1,1,2,4,3,1,1,6.4,0,6.028
3,0.46,3,3,5,1859,2,1,0,1,0,1,2,5,4,1,1,2,3,2,4,1,2,5,3,5,2,2,1,3,3,1,2,3.6,0,5.719
3,0.038,2,3,5,1670,4,0,0,0,0,0,4,4,4,1,1,3,3,3,4,2,2,4,4,3,1,1,1,2,3,2,6,4.775,0,5.468
5,0.7,2,3,4,1579,4,1,1,1,1,0,3,3,4,3,1,2,4,3,3,1,3,5,4,3,3,2,2,2,3,1,1,5.95,0,6.155
