OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F31,F33,F34,F36,F38,F43,F44,F45,F49,F63,F65,PR
2,4,2272,4,3,1,4,5,2,1,1,0,0,0,0,1,1,1,1,0,0,4.748
2,4,2272,2,1,2,4,3,2,3,5,5,2,3,0,1,2,0,2,0,0,4.517
1,4,2314,1,1,3,4,2,2,3,4,0,0,0,0,1,1,2,1,0,0,6.606
2,6,2180,1,3,3,2,5,1,1,5,0,0,0,0,2,1,4,2,0,0,7.084
1,4,2062,3,2,1,2,4,3,2,1,0,0,0,0,1,2,4,2,0,0,4.586
2,4,1846,2,3,3,3,2,2,2,4,5,3,3,0,1,2,3,1,0,0,5.072
3,4,1936,2,3,4,3,4,2,2,4,5,4,1,0,1,1,1,1,0,6.83,6.746
2,4,1657,4,1,3,3,4,2,2,1,0,0,0,0,1,2,2,1,0,7.09,6.093
2,4,1342,4,2,3,2,3,2,2,2,0,0,0,0,1,2,5,2,0,7.35,4.94
2,4,1985,3,2,1,2,3,2,2,2,0,0,0,0,2,2,4,2,0,6.56,4.394
2,3,1757,4,3,2,2,5,1,1,1,0,0,0,0,1,2,3,1,0,6.705,5.355
2,4,1985,1,1,4,2,1,2,2,2,4,5,3,1,1,2,5,1,0,6.85,4.821
1,4,1833,1,3,4,5,2,1,2,5,5,3,1,0,1,2,5,1,0,6.64,5.864
2,4,1426,4,2,3,3,1,3,2,4,4,5,2,0,1,1,3,1,0,6.43,5.349
2,4,1815,1,2,2,4,1,2,2,5,3,5,2,0,1,1,3,1,0,5.19,5.024
3,4,1455,1,1,3,3,1,2,5,5,5,4,3,0,1,1,1,1,0,6.43,5.517
2,4,1357,1,1,3,2,2,2,5,5,5,3,2,0,2,1,2,1,0,4.16,5.983
1,0,1666,4,3,4,3,3,2,2,1,0,3,1,0,1,1,5,3,0,5.28,4.327
1,4,1345,2,3,1,2,2,2,2,2,4,3,1,0,1,2,4,1,0,6.4,4.583
3,5,1859,1,2,3,4,1,2,2,5,3,5,2,0,2,1,3,1,0,3.6,6.018
2,5,1670,1,3,3,4,2,2,1,4,4,3,1,0,1,1,2,2,0,4.775,5.219
2,4,1579,3,2,4,3,1,3,3,5,4,3,3,0,2,2,2,1,0,5.95,5.246
2,4,1865,3,3,3,4,2,2,2,3,4,5,1,0,1,1,3,1,0,6.235,5.619
2,4,2194,2,1,2,2,1,2,3,5,5,3,2,1,2,2,3,1,0,6.52,4.86
3,4,1337,3,1,3,2,2,2,2,5,5,5,1,0,1,2,4,1,0,4.45,5.39
2,3,2232,1,3,3,3,3,1,1,5,3,4,2,0,2,2,2,1,0,4.055,6.797
3,4,1363,1,1,3,2,5,1,5,5,5,5,3,0,5,0,0,1,0,3.66,10
2,4,2166,2,2,2,2,2,2,2,3,4,4,2,0,2,1,5,1,0,6.46,5.587
3,4,1730,1,1,4,2,2,2,2,3,4,5,3,0,1,1,5,1,0,6.5,5.619
3,4,1579,1,3,3,2,4,2,2,5,5,4,3,0,5,0,0,1,0,3.96,10
2,4,1609,1,2,3,4,1,2,2,5,4,4,2,0,1,1,3,1,0,6.28,5.382
2,4,1697,3,3,2,4,3,1,3,3,5,4,3,0,1,2,4,1,0,5.96,6.142
1,4,1991,1,2,3,4,2,2,2,3,3,4,2,0,1,2,2,1,0,5.64,6.392
2,4,1853,1,3,3,4,2,1,2,2,3,5,1,0,2,1,2,1,0,5.32,6.208
2,4,2147,1,3,4,4,2,2,2,4,5,3,1,0,1,2,3,2,0,5,5.617
2,4,1496,1,2,3,4,1,2,2,5,4,4,2,0,1,1,3,1,0,4.68,6.632
1,5,1846,2,3,3,3,4,1,3,3,5,4,3,0,1,2,2,2,0,5.463333333,7.3
1,4,1523,2,2,4,3,1,2,2,2,3,3,2,0,1,1,4,1,0,6.246666667,5.219
2,4,1730,2,2,3,4,1,2,2,5,3,2,2,1,2,1,5,1,0,7.03,5.418
2,4,2078,3,2,5,4,1,2,2,4,3,3,2,0,1,1,3,1,0,6.33,4.094
2,4,1933,1,2,3,5,1,2,3,5,4,2,2,1,2,1,3,1,0,7.03,5.465
2,4,2034,3,3,2,4,2,2,2,3,4,2,1,0,1,1,3,2,0,6.1,4.662
2,4,2041,4,3,3,4,2,1,2,3,4,3,2,0,1,2,1,1,0,5.17,6.552
2,5,1909,1,2,5,4,1,2,2,3,3,4,2,0,1,2,3,1,0,4.24,3.983
1,6,2169,1,3,3,4,1,3,2,2,3,4,2,0,1,2,3,2,0,5.665,5.201
2,3,1881,3,1,3,4,1,2,2,5,4,3,3,1,2,1,4,1,0,7.09,5.116
2,4,1904,2,3,3,4,2,2,2,4,3,2,1,0,1,1,3,2,0,6.81,5.193
2,4,1846,1,3,3,4,2,3,3,4,4,4,3,0,1,1,2,2,0,6.53,5.51
1,4,2224,1,1,3,2,2,2,2,2,3,3,2,0,1,1,0,1,0,6.25,5.688
3,4,1890,1,1,4,2,2,2,4,5,4,2,2,0,1,1,5,1,0,4.17,5.69
3,4,1512,1,1,3,3,2,2,2,5,6,3,1,0,5,0,0,1,0,6.31,10
1,2,2073,1,3,2,4,2,2,3,4,4,2,3,0,1,1,3,2,0,5.745,5.364
2,2,1854,2,2,4,2,2,2,2,2,5,3,3,0,1,1,2,1,0,5.18,5.963
1,2,2062,5,3,3,4,1,1,2,3,3,3,1,0,1,2,3,2,0,5.46,5.794
2,4,2082,1,1,2,4,4,2,2,5,4,3,2,0,1,2,0,1,0,5.74,4.719
1,4,1516,1,1,3,4,1,2,2,4,3,4,1,0,1,1,3,1,0,6.02,5.372
2,4,1523,1,1,3,4,2,2,2,5,4,3,2,0,1,1,5,1,0,5.89,5.469
1,3,1865,2,2,5,3,1,2,2,4,5,5,2,0,1,1,2,1,0,4.18,4.014
2,4,1933,3,2,4,4,1,2,2,5,4,4,2,1,1,1,3,1,0,7.22,4.895
