F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F17,F21,F24,F25,F29,F31,F33,F34,F43,F47,F48,F66b,SFST
3,0,2,0,4,0,2,2,4,1,5,4,1,1,0,0,1,2,1,0.0,3.815
4,0,0,0,0,2,0,5,2,2,3,1,3,5,5,2,1,1,1,0.0,4.198
4,0,0,0,0,0,2,5,1,3,2,3,3,4,0,0,1,2,1,0.0,4.537
2,0,0,3,0,1,4,0,1,3,5,5,1,5,0,0,2,3,3,0.0,3.924
3,0,1,0,4,0,2,1,3,1,4,5,2,1,0,0,1,3,3,0.0,4.648
4,0,0,1,3,0,1,5,2,3,2,2,2,4,5,3,1,2,3,0.0,5.49
4,1,0,0,2,0,2,5,2,4,4,1,2,4,5,4,1,1,3,0.0,5.597
3,0,0,0,4,0,2,3,4,3,4,5,2,1,0,0,1,3,3,0.0,6.037
3,5,2,1,1,1,1,0,4,3,3,5,2,2,0,0,1,2,3,380.0,7.028
3,4,3,1,1,1,1,0,3,1,3,5,2,2,0,0,2,3,3,81.0,2.934
3,0,0,0,4,0,2,3,4,2,5,5,1,1,0,0,1,3,3,63.0,4.481
2,1,0,1,0,1,4,2,1,4,1,5,2,2,4,5,1,1,3,45.0,6.212
4,0,0,2,1,0,1,5,1,4,2,2,2,5,5,3,1,1,3,62.5,5.51
4,1,0,0,1,0,3,3,4,3,1,2,2,4,4,5,1,1,3,80.0,5.247
4,0,0,0,2,0,2,5,1,2,1,3,2,5,3,5,1,1,3,80.0,5.698
2,1,0,1,0,1,1,4,1,3,1,1,5,5,5,4,1,1,2,80.0,6.208
2,1,0,2,1,2,3,3,1,3,2,2,5,5,5,3,2,1,3,52.0,3.639
3,2,0,1,5,0,1,1,4,4,3,5,2,1,0,3,1,3,3,60.0,5.567
3,3,0,2,2,1,2,2,2,1,2,3,2,2,4,3,1,2,3,68.0,4.885
2,1,0,1,0,1,2,5,1,3,1,3,2,5,3,5,2,3,3,80.33333333,3.579
4,0,0,0,0,0,4,4,1,3,2,4,1,4,4,3,1,3,3,92.66666667,5.865
4,1,1,1,1,0,3,3,3,4,1,2,3,5,4,3,2,2,3,105.0,3.518
4,1,1,0,2,0,2,4,3,3,2,4,2,3,4,5,1,1,3,152.0,5.899
4,0,0,0,1,0,1,6,2,2,1,2,3,5,5,3,2,3,3,199.0,2.802
2,1,0,1,0,1,1,4,3,3,2,1,2,5,5,5,1,3,3,101.0,6.101
2,0,0,0,1,0,3,4,1,3,3,4,1,5,3,4,2,3,3,83.0,3.728
1,0,0,1,0,3,3,2,1,3,5,2,5,5,5,5,5,3,3,65.0,0.0
3,0,1,1,2,1,4,2,2,2,2,3,2,3,4,4,2,1,3,57.0,3.615
3,1,1,1,5,1,1,1,1,4,2,5,2,3,4,5,1,1,3,108.0,7.108
1,1,0,1,0,1,4,2,1,3,4,2,2,5,5,4,5,3,3,230.0,0.0
4,1,0,1,1,1,1,5,1,3,1,3,2,5,4,4,1,1,2,160.0,6.979
2,1,0,0,1,0,4,3,3,2,3,2,3,3,5,4,1,3,3,190.5,5.701
4,1,1,0,2,0,0,5,1,3,2,4,2,3,3,4,1,1,3,221.0,6.139
2,1,1,0,3,0,4,2,1,3,2,4,2,2,3,5,2,3,3,251.5,3.952
4,0,0,0,2,0,1,5,1,4,2,4,2,4,5,3,1,3,3,282.0,5.226
2,1,0,1,0,1,2,5,1,3,1,3,2,5,4,4,1,1,3,312.5,5.59
2,1,0,2,0,0,4,3,2,3,4,2,3,3,5,4,1,3,3,343.0,5.938
3,1,0,1,1,0,4,2,2,4,1,3,2,2,3,3,1,1,3,373.5,5.837
3,2,1,1,3,0,2,3,2,3,1,3,2,5,3,2,2,1,3,404.0,3.956
3,1,1,1,1,1,2,4,3,5,1,3,2,4,3,3,1,1,3,98.0,5.517
4,0,0,0,2,0,2,4,1,3,1,3,3,5,4,2,2,1,2,242.0,4.312
4,0,0,0,2,0,1,5,3,2,2,4,2,3,4,2,1,3,3,177.3333333,3.99
3,1,0,0,3,0,4,3,4,3,2,4,2,3,4,3,1,2,3,112.6666667,5.615
4,0,0,1,1,1,1,5,1,5,1,4,2,3,3,4,1,2,3,48.0,4.924
4,0,0,0,0,0,0,6,1,3,1,5,2,2,3,4,1,3,3,204.0,6.153
3,1,1,0,4,1,2,3,3,3,1,3,2,5,4,3,2,1,2,360.0,4.238
4,0,0,0,1,0,0,5,2,3,2,5,2,4,3,2,1,2,3,300.6,5.795
4,0,0,0,0,0,4,4,1,3,2,3,3,4,4,4,1,1,3,241.2,5.854
4,0,0,0,0,0,1,6,1,3,2,2,2,2,3,3,1,3,3,181.8,5.77
2,1,0,1,0,1,4,3,1,4,2,3,4,5,4,2,1,1,3,122.4,5.733
2,0,0,0,0,1,1,5,1,3,2,1,2,5,6,3,5,3,3,63.0,0.0
4,0,0,0,2,0,0,5,1,2,2,4,3,4,4,2,1,1,3,78.4,5.865
4,0,1,0,1,0,2,5,2,4,2,2,2,2,5,3,1,1,3,93.8,5.622
4,0,0,0,2,0,2,5,5,3,1,4,2,3,3,3,1,1,3,109.2,5.71
4,0,0,0,0,0,1,1,1,2,4,2,2,5,4,3,1,1,3,124.6,5.635
4,0,0,0,0,0,2,5,1,3,1,5,2,4,3,4,1,1,3,140.0,6.806
2,1,0,0,0,0,3,4,1,3,2,3,2,5,4,3,1,1,2,98.0,6.177
4,0,0,0,0,0,2,4,2,5,1,3,2,4,5,5,1,1,3,384.0,5.503
4,0,0,0,1,0,1,6,3,4,1,3,2,5,4,4,1,1,3,670.0,6.993
3,0,4,0,2,0,1,1,4,1,4,5,2,3,3,5,4,1,3,457.5,0.763
4,1,0,1,0,1,1,5,2,1,2,3,2,5,3,2,5,3,3,245.0,0.0
2,1,0,2,0,2,0,5,3,3,5,1,1,1,0,5,1,2,3,204.2,5.907
4,1,1,1,2,0,2,3,2,2,2,2,3,5,5,3,2,1,3,163.4,3.414
3,1,2,0,5,0,2,2,3,1,2,2,1,5,5,5,1,2,3,122.6,4.33
4,0,0,0,2,1,2,4,1,2,3,4,2,4,4,2,1,1,1,81.8,4.733
2,0,0,0,0,0,4,2,3,3,2,2,3,5,3,1,2,1,3,41.0,3.268
4,0,0,0,0,1,2,5,1,2,2,4,3,4,4,4,1,1,3,58.75,5.993
2,0,0,3,0,3,2,3,1,3,2,1,2,5,5,3,1,3,3,76.5,5.497
3,0,1,0,4,0,2,3,4,2,2,5,2,1,0,0,1,1,3,94.25,5.815
1,1,0,2,0,2,2,3,1,3,4,5,1,5,0,0,4,3,3,112.0,0.863
3,2,1,1,5,0,2,2,2,2,5,4,2,1,0,0,1,1,3,108.3076923,6.583
1,0,0,1,0,2,2,2,1,3,5,1,3,5,0,0,5,3,3,104.6153846,0.0
1,2,0,2,2,0,3,1,1,3,6,0,0,0,0,0,5,3,3,100.9230769,0.0
3,2,0,4,1,3,2,1,1,4,4,5,1,5,2,0,2,3,3,97.23076923,3.49
1,0,0,2,1,3,3,1,1,3,6,0,0,0,0,0,5,3,3,93.53846154,0.0
4,0,0,1,1,1,2,4,1,3,3,4,2,2,0,0,1,2,3,89.84615385,6.176
3,4,0,2,0,1,0,3,2,3,5,5,1,4,0,0,1,3,1,86.15384615,5.333
1,0,0,1,0,3,4,1,1,3,6,0,0,0,0,0,5,3,3,82.46153846,0.0
1,0,0,0,1,2,3,3,1,3,6,0,0,0,0,0,5,3,3,78.76923077,0.0
3,3,2,2,2,2,2,2,1,3,4,4,1,3,0,0,1,2,1,75.07692308,5.278
1,0,0,0,0,2,3,3,1,3,6,0,0,0,0,0,5,3,3,71.38461538,0.0
3,3,2,2,2,2,1,2,1,1,6,0,0,0,0,0,2,2,1,67.69230769,2.708
1,1,0,2,0,2,2,4,1,3,5,1,1,5,0,0,5,3,3,64.0,0.0
3,2,0,2,2,1,3,2,1,3,4,2,3,2,0,0,1,1,1,63.25,5.111
1,1,0,2,0,3,2,2,1,3,6,0,0,0,0,0,5,3,3,62.5,0.0
2,2,0,4,0,2,3,1,1,3,4,5,2,4,0,0,1,3,3,61.75,6.398
4,1,1,1,2,0,2,4,2,4,2,2,2,2,0,0,2,2,3,61.0,3.166
2,2,2,0,4,0,2,1,2,4,2,5,1,3,0,0,1,3,3,68.25,6.046
2,2,1,2,2,2,3,2,1,4,2,4,2,3,0,0,2,3,3,75.5,3.785
3,1,1,2,2,2,2,2,1,3,4,5,2,5,0,0,4,3,3,82.75,0.759
