OF22,OF26,OF27,F9,F17,F20,F22,F28,F29,F31,F33,F34,F35,F36,F43,F44,F45,F49,S5,SR
2,4,2272,0,4,3,2,2,1,1,0,0,0,0,1,1,1,1,0.0,4.12
2,4,2272,2,2,1,1,2,3,5,5,2,1,3,1,2,0,2,0.0,3.422
1,4,2314,4,1,1,1,2,3,4,0,0,0,0,1,1,2,1,0.0,3.431
2,6,2180,0,1,3,1,1,1,5,0,0,0,0,2,1,4,2,0.0,3.066
1,4,2062,0,3,2,3,3,2,1,0,0,0,0,1,2,4,2,0.0,4.145
2,4,1846,3,2,3,2,2,2,4,5,3,3,3,1,2,3,1,0.0,4.492
3,4,1936,2,2,3,3,2,2,4,5,4,1,1,1,1,1,1,0.0,5.159
2,4,1657,1,4,1,2,2,2,1,0,0,0,0,1,2,2,1,0.0,3.75
2,4,1342,0,4,2,4,2,2,2,0,0,0,0,1,2,5,2,0.0,3.995
2,4,1985,0,3,2,3,2,2,2,0,0,0,0,2,2,4,2,0.0,3.788
2,3,1757,1,4,3,2,1,1,1,0,0,0,0,1,2,3,1,0.0,3.009
2,4,1985,1,1,1,4,2,2,2,4,5,5,3,1,2,5,1,0.0,5.577
1,4,1833,4,1,3,2,1,2,5,5,3,5,1,1,2,5,1,0.0,4.278
2,4,1426,2,4,2,4,3,2,4,4,5,5,2,1,1,3,1,0.0,6.372
2,4,1815,1,1,2,2,2,2,5,3,5,5,2,1,1,3,1,0.0,5.494
3,4,1455,1,1,1,4,2,5,5,5,4,5,3,1,1,1,1,0.0,6.328
2,4,1357,1,1,1,2,2,5,5,5,3,5,2,2,1,2,1,0.0,5.531
1,0,1666,0,4,3,3,2,2,1,0,3,5,1,1,1,5,3,0.0,3.889
1,4,1345,1,2,3,4,2,2,2,4,3,5,1,1,2,4,1,0.0,5.269
3,5,1859,1,1,2,2,2,2,5,3,5,5,2,2,1,3,1,0.0,5.917
2,5,1670,3,1,3,3,2,1,4,4,3,5,1,1,1,2,2,0.0,5.266
2,4,1579,2,3,2,3,3,3,5,4,3,5,3,2,2,2,1,0.0,5.812
2,4,1865,4,3,3,3,2,2,3,4,5,5,1,1,1,3,1,0.0,5.77
2,4,2194,3,2,1,4,2,3,5,5,3,5,2,2,2,3,1,0.0,6.074
3,4,1337,1,3,1,4,2,2,5,5,5,5,1,1,2,4,1,0.0,6.01
2,3,2232,2,1,3,2,1,1,5,3,4,5,2,2,2,2,1,0.0,4.399
3,4,1363,1,1,1,2,1,5,5,5,5,5,3,5,0,0,1,0.0,10.0
2,4,2166,1,2,2,4,2,2,3,4,4,5,2,2,1,5,1,0.0,6.107
3,4,1730,1,1,1,4,2,2,3,4,5,5,3,1,1,5,1,0.0,6.0
3,4,1579,0,1,3,2,2,2,5,5,4,5,3,5,0,0,1,0.0,10.0
2,4,1609,2,1,2,3,2,2,5,4,4,5,2,1,1,3,1,0.0,5.773
2,4,1697,2,3,3,2,1,3,3,5,4,5,3,1,2,4,1,0.0,3.896
1,4,1991,4,1,2,3,2,2,3,3,4,5,2,1,2,2,1,0.0,5.231
2,4,1853,2,1,3,2,1,2,2,3,5,5,1,2,1,2,1,0.0,4.528
2,4,2147,3,1,3,2,2,2,4,5,3,5,1,1,2,3,2,0.060606061,4.775
2,4,1496,1,1,2,2,2,2,5,4,4,5,2,1,1,3,1,0.121212121,5.283
1,5,1846,2,2,3,2,1,3,3,5,4,5,3,1,2,2,2,0.181818182,3.579
1,4,1523,1,2,2,4,2,2,2,3,3,5,2,1,1,4,1,0.242424243,5.408
2,4,1730,3,2,2,3,2,2,5,3,2,5,2,2,1,5,1,0.303030303,5.786
2,4,2078,3,3,2,2,2,2,4,3,3,5,2,1,1,3,1,0.363636364,5.112
2,4,1933,2,1,2,2,2,3,5,4,2,5,2,2,1,3,1,0.424242424,5.4
2,4,2034,0,3,3,3,2,2,3,4,2,5,1,1,1,3,2,0.484848485,5.134
2,4,2041,3,4,3,3,1,2,3,4,3,5,2,1,2,1,1,0.545454546,4.204
2,5,1909,2,1,2,2,2,2,3,3,4,5,2,1,2,3,1,0.606060606,5.074
1,6,2169,4,1,3,4,3,2,2,3,4,5,2,1,2,3,2,0.666666667,6.032
2,3,1881,3,3,1,3,2,2,5,4,3,4,3,2,1,4,1,0.592592593,5.265
