OF18,OF19,OF20,OF21,OF22,OF23,OF24,F24,F28,F41,F50,F52,F55,S4,SR_Benefit
0.07,0,4,4,2,1,3,5,2,1,5,0,4,0.0,4.094
0.22,0,4,4,2,1,3,3,2,0,4,4,4,0.0,1.124
0.13,0,4,4,1,1,2,2,2,1,5,0,4,0.0,4.462
0.0356,0,4,4,2,2,3,5,1,0,4,2,4,0.0,1.062
0.08,0,4,4,1,3,1,4,3,1,4,2,4,0.0,5.14
0.49,0,4,4,2,1,3,2,2,1,5,0,4,0.0,3.894
0.3008,0,4,4,3,1,2,4,2,1,1,2,4,0.0,4.458
0.51,0,4,4,2,1,2,4,2,1,5,0,4,0.0,4.122
0.43,0,4,4,2,1,3,3,2,1,5,0,4,0.0,3.922
0.52,0,4,4,2,1,3,3,2,1,4,2,4,0.0,3.985
0.08,0,4,4,2,1,2,5,1,1,5,0,4,0.0,4.327
0.59,0,4,4,2,1,3,1,2,1,5,0,4,0.0,3.846
0.38,0,4,4,1,3,3,2,1,0,2,1,4,0.0,1.404
0.07,0,4,4,2,1,3,1,3,1,5,0,4,0.0,4.094
0.23,1,4,4,2,1,3,1,2,1,5,0,4,0.0,10.0
0.72,0,4,4,3,1,3,1,2,1,5,0,4,0.0,3.625
0.66,0,0,0,2,1,3,2,2,1,5,0,4,0.047619048,10.0
0.079,0,4,4,1,3,2,3,2,1,5,0,4,0.095238095,4.962
0.56,0,4,4,1,1,3,2,2,1,5,0,4,0.142857143,4.019
0.46,0,4,4,3,1,0,1,2,1,5,0,4,0.19047619,3.749
0.038,0,4,4,2,2,2,2,2,1,5,0,4,0.238095238,4.585
0.7,0,4,4,2,1,3,1,3,0,4,2,4,0.285714285,0.576
0.1837,0,4,4,2,3,3,2,2,0,3,1,4,0.333333333,1.382
0.1,0,4,4,2,1,2,1,2,1,4,2,4,0.296296296,4.368
0.77,0,4,4,3,1,3,2,2,1,5,0,4,0.259259259,3.602
0.25,0,4,4,2,1,2,3,1,0,4,1,4,0.222222222,0.903
0.76,0,4,4,3,1,3,5,1,0,5,0,4,0.185185185,0.273
0.35,0,4,4,2,1,3,2,2,1,5,0,4,0.148148148,3.96
0.7,1,4,4,3,1,3,2,2,0,5,0,4,0.111111111,10.0
0.76,0,4,4,3,1,3,4,2,0,5,0,4,0.074074074,0.273
0.31,1,4,4,2,1,3,1,2,1,5,0,4,0.037037037,10.0
0.1969,0,4,4,2,2,3,3,1,1,4,1,4,0.0,4.258
0.322,0,4,4,1,1,2,2,2,1,5,0,4,0.416666667,4.569
0.3181,0,4,4,2,1,2,2,1,0,4,3,4,0.0,1.152
0.252,0,4,4,2,1,3,2,2,1,5,0,4,0.0,4.007
0.4,0,4,4,2,1,3,1,2,1,5,0,4,0.0,3.937
0.52,0,4,4,1,1,3,4,1,1,5,0,4,0.0,4.038
0.62,0,4,4,1,1,3,1,2,1,5,0,4,0.0,3.99
0.46,0,4,4,2,1,3,1,2,1,4,2,4,0.0,4.01
0.29,0,4,4,2,1,3,1,2,1,5,0,4,0.0,3.989
0.17,0,4,4,2,1,2,1,2,1,3,2,4,0.0,4.443
0.004,0,4,4,2,2,2,2,2,1,5,0,4,0.0,4.601
0.05,0,4,4,2,1,2,2,1,1,4,1,4,0.0,4.319
0.53,0,4,4,2,1,3,1,2,1,5,0,4,0.0,3.875
