OF22,OF26,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F20,F21,F22,F28,F31,F43,F44,F45,F48,F49,WS
2,4,0,2,0,4,0,2,2,3,1,2,2,1,1,1,1,1,1,2.094
2,4,0,0,0,0,2,0,5,1,2,1,2,5,1,2,0,1,2,1.098
1,4,0,0,0,0,0,2,5,1,3,1,2,4,1,1,2,1,1,1.395
2,6,0,0,3,0,1,4,0,3,3,1,1,5,2,1,4,3,2,3.726
1,4,0,1,0,4,0,2,1,2,1,3,3,1,1,2,4,3,2,3.019
2,4,0,0,1,3,0,1,5,3,3,2,2,4,1,2,3,3,1,2.648
3,4,1,0,0,2,0,2,5,3,4,3,2,4,1,1,1,3,1,3.121
2,4,0,0,0,4,0,2,3,1,3,2,2,1,1,2,2,3,1,2.417
2,4,5,2,1,1,1,1,0,2,3,4,2,2,1,2,5,3,2,3.323
2,4,4,3,1,1,1,1,0,2,1,3,2,2,2,2,4,3,2,4.865
2,3,0,0,0,4,0,2,3,3,2,2,1,1,1,2,3,3,1,1.931
2,4,1,0,1,0,1,4,2,1,4,4,2,2,1,2,5,3,1,3.423
1,4,0,0,2,1,0,1,5,3,4,2,1,5,1,2,5,3,1,2.417
2,4,1,0,0,1,0,3,3,2,3,4,3,4,1,1,3,3,1,3.75
2,4,0,0,0,2,0,2,5,2,2,2,2,5,1,1,3,3,1,2.573
3,4,1,0,1,0,1,1,4,1,3,4,2,5,1,1,1,2,1,3.268
2,4,1,0,2,1,2,3,3,1,3,2,2,5,2,1,2,3,1,4.625
1,0,2,0,1,5,0,1,1,3,4,3,2,1,1,1,5,3,3,2.618
1,4,3,0,2,2,1,2,2,3,1,4,2,2,1,2,4,3,1,3.326
3,5,1,0,1,0,1,2,5,2,3,2,2,5,2,1,3,3,1,4.837
2,5,0,0,0,0,0,4,4,3,3,3,2,4,1,1,2,3,2,3.017
2,4,1,1,1,1,0,3,3,2,4,3,3,5,2,2,2,3,1,5.185
2,4,1,1,0,2,0,2,4,3,3,3,2,3,1,1,3,3,1,3.057
2,4,0,0,0,1,0,1,6,1,2,4,2,5,2,2,3,3,1,5.115
3,4,1,0,1,0,1,1,4,1,3,4,2,5,1,2,4,3,1,3.65
2,3,0,0,0,1,0,3,4,3,3,2,1,5,2,2,2,3,1,4.233
3,4,0,0,1,0,3,3,2,1,3,2,1,5,5,0,0,3,1,6.184
2,4,0,1,1,2,1,4,2,2,2,4,2,3,2,1,5,3,1,5.223
3,4,1,1,1,5,1,1,1,1,4,4,2,3,1,1,5,3,1,3.696
3,4,1,0,1,0,1,4,2,3,3,2,2,5,5,0,0,3,1,6.452
2,4,1,0,1,1,1,1,5,2,3,3,2,5,1,1,3,2,1,2.879
2,4,1,0,0,1,0,4,3,3,2,2,1,3,1,2,4,3,1,2.185
1,4,1,1,0,2,0,0,5,2,3,3,2,3,1,2,2,3,1,2.803
2,4,1,1,0,3,0,4,2,3,3,2,1,2,2,1,2,3,1,4.208
2,4,0,0,0,2,0,1,5,3,4,2,2,4,1,2,3,3,2,2.548
2,4,1,0,1,0,1,2,5,2,3,2,2,5,1,1,3,3,1,2.782
1,5,1,0,2,0,0,4,3,3,3,2,1,3,1,2,2,3,2,2.102
1,4,1,0,1,1,0,4,2,2,4,4,2,2,1,1,4,3,1,3.305
2,4,2,1,1,3,0,2,3,2,3,3,2,5,2,1,5,3,1,5.157
2,4,1,1,1,1,1,2,4,2,5,2,2,4,1,1,3,3,1,2.94
2,4,0,0,0,2,0,2,4,2,3,2,2,5,2,1,3,2,1,4.379
2,4,0,0,0,2,0,1,5,3,2,3,2,3,1,1,3,3,2,2.748
2,4,1,0,0,3,0,4,3,3,3,3,1,3,1,2,1,3,1,2.581
2,5,0,0,1,1,1,1,5,2,5,2,2,3,1,2,3,3,1,2.848
1,6,0,0,0,0,0,0,6,3,3,4,3,2,1,2,3,3,2,3.452
2,3,1,1,0,4,1,2,3,1,3,3,2,5,2,1,4,2,1,4.775
2,4,0,0,0,1,0,0,5,3,3,2,2,4,1,1,3,3,2,2.632
2,4,0,0,0,0,0,4,4,3,3,3,3,4,1,1,2,3,2,3.243
1,4,0,0,0,0,0,1,6,1,3,4,2,2,1,1,0,3,1,3.118
3,4,1,0,1,0,1,4,3,1,4,4,2,5,1,1,5,3,1,3.796
3,4,0,0,0,0,1,1,5,1,3,3,2,5,5,0,0,3,1,6.827
1,2,0,0,0,2,0,0,5,3,2,2,2,4,1,1,3,3,2,2.201
2,2,0,1,0,1,0,2,5,2,4,4,2,2,1,1,2,3,1,3.267
1,2,0,0,0,2,0,2,5,3,3,2,1,3,1,2,3,3,2,2.008
2,4,0,0,0,0,0,1,1,1,2,2,2,5,1,2,0,3,1,2.365
1,4,0,0,0,0,0,2,5,1,3,2,2,4,1,1,3,3,1,2.593
2,4,1,0,0,0,0,3,4,1,3,3,2,5,1,1,5,2,1,3.004
1,3,0,0,0,0,0,2,4,2,5,4,2,4,1,1,2,3,1,3.478
2,4,0,0,0,1,0,1,6,2,4,2,2,5,1,1,3,3,1,2.782
2,3,0,4,0,2,0,1,1,2,1,3,4,3,4,0,0,3,2,7.294
2,4,1,0,1,0,1,1,5,2,1,3,2,5,5,0,0,3,1,6.792
1,6,1,0,2,0,2,0,5,3,3,3,1,1,1,2,3,3,1,2.542
1,4,1,1,1,2,0,2,3,2,2,3,2,5,2,1,2,3,1,4.653
3,4,1,2,0,5,0,2,2,3,1,4,2,5,1,2,3,3,1,3.691
2,4,0,0,0,2,1,2,4,1,2,2,2,4,1,1,2,1,2,1.975
2,3,0,0,0,0,0,4,2,1,3,2,2,5,2,1,4,3,1,4.678
1,3,0,0,0,0,1,2,5,1,2,1,2,4,1,1,3,3,1,1.593
2,6,0,0,3,0,3,2,3,3,3,1,1,5,1,2,0,3,1,1.681
1,4,0,1,0,4,0,2,3,3,2,3,2,1,1,2,5,3,2,2.501
3,3,1,0,2,0,2,2,3,1,3,2,2,5,4,0,0,3,1,6.4
3,4,2,1,1,5,0,2,2,2,2,2,3,1,1,2,4,3,1,2.709
2,6,0,0,1,0,2,2,2,1,3,1,1,5,5,0,0,3,1,5.451
2,6,2,0,2,2,0,3,1,3,3,1,0,0,5,0,0,3,1,8.056
2,6,2,0,4,1,3,2,1,3,4,2,1,5,2,2,5,3,1,4.556
1,6,0,0,2,1,3,3,1,3,3,1,0,0,5,0,0,3,1,7.5
2,4,0,0,1,1,1,2,4,2,3,1,2,2,1,1,2,3,1,1.85
2,3,4,0,2,0,1,0,3,3,3,2,1,4,1,1,5,1,1,2.131
2,6,0,0,1,0,3,4,1,1,3,2,0,0,5,0,0,3,1,6.806
1,6,0,0,0,1,2,3,3,1,3,1,0,0,5,0,0,3,1,6.25
2,6,3,2,2,2,2,2,2,2,3,2,1,3,1,2,1,1,1,1.914
1,6,0,0,0,0,2,3,3,1,3,1,0,0,5,0,0,3,1,6.25
1,3,3,2,2,2,2,1,2,3,1,1,0,0,2,2,3,1,1,6.25
4,4,1,0,2,0,2,2,4,1,3,2,1,5,5,0,0,3,1,6.323
2,4,2,0,2,2,1,3,2,2,3,2,2,2,1,2,1,1,1,2.007
4,6,1,0,2,0,3,2,2,1,3,1,0,0,5,0,0,3,1,7.917
2,4,2,0,4,0,2,3,1,3,3,2,1,4,1,1,4,3,2,2.426
1,4,1,1,1,2,0,2,4,1,4,4,2,2,2,1,3,3,1,5.118
2,2,2,2,0,4,0,2,1,3,4,3,1,3,1,2,5,3,2,2.647
3,4,2,1,2,2,2,3,2,2,4,3,2,3,2,2,5,3,1,5.112
3,4,1,1,2,2,2,2,2,3,3,3,2,5,4,0,0,3,1,6.827
3,4,1,0,1,0,2,3,3,1,3,2,1,1,5,0,0,3,1,5.872
3,4,5,2,1,1,0,0,0,3,4,3,1,5,4,0,0,2,1,6.281
1,6,1,0,3,0,4,0,5,3,3,1,0,0,4,0,0,3,1,7.5
1,4,6,1,1,0,0,0,0,2,4,2,2,1,1,1,4,1,2,1.939
2,4,0,0,0,0,0,3,4,2,4,3,2,5,2,1,3,3,1,5.032
2,5,1,1,0,4,0,2,2,2,4,2,1,1,1,2,4,3,2,2.185
2,5,0,0,0,2,0,2,5,2,3,4,2,1,1,1,2,2,2,2.914
1,4,1,0,1,0,1,2,4,2,3,4,2,1,1,2,2,3,1,3.028
1,6,2,0,4,0,0,3,2,3,3,1,0,0,4,0,0,3,2,6.0
4,4,2,0,3,0,3,1,2,2,3,2,1,5,4,0,0,3,1,6.323
3,4,1,0,1,0,3,0,3,2,3,2,1,5,5,0,0,3,1,6.184
3,6,0,0,5,0,2,1,1,2,3,1,1,4,2,2,4,3,1,3.832
3,6,0,0,2,0,2,4,2,3,3,1,0,0,5,0,0,3,1,8.611
3,6,3,0,2,0,2,3,0,2,4,1,0,0,5,0,0,3,1,8.194
3,5,0,0,0,5,0,1,0,3,3,3,1,3,1,1,4,3,2,2.932
2,5,3,0,1,0,0,4,0,3,3,1,1,1,1,2,4,3,2,1.435
1,6,1,0,2,1,2,4,1,3,3,1,1,5,5,0,0,3,1,5.312
1,6,0,0,3,0,1,4,1,3,3,1,1,5,2,2,4,3,1,3.604
1,4,1,1,0,5,0,1,0,2,1,4,2,5,1,2,4,3,1,3.476
2,4,1,1,1,4,1,1,1,3,3,4,2,4,1,2,5,3,1,3.523
3,4,2,2,0,3,0,2,0,3,2,4,3,1,1,2,4,3,2,3.359
3,4,4,2,2,2,1,1,1,3,2,3,1,5,5,0,0,3,1,6.351
3,4,3,2,2,3,1,1,1,3,3,4,1,5,5,0,0,3,1,6.934
2,6,0,0,0,2,0,4,3,2,2,2,0,0,2,2,1,3,1,6.806
1,4,1,0,0,0,0,2,5,1,4,3,2,5,4,0,0,3,1,6.549
4,6,1,0,2,0,3,0,2,1,3,1,0,0,5,0,0,3,1,7.917
3,4,0,0,1,0,2,4,2,1,3,3,1,5,5,0,0,3,1,6.559
3,4,1,0,2,2,3,3,3,1,3,1,0,0,4,0,0,3,1,7.361
4,4,1,0,1,0,2,2,3,1,3,2,1,5,5,0,0,3,1,6.323
1,6,3,0,4,0,0,2,0,3,3,1,0,0,5,0,0,3,2,6.0
1,1,1,0,3,0,2,4,1,3,3,1,0,0,4,0,0,3,2,6.0
3,6,1,0,4,0,0,3,0,3,3,1,1,5,2,2,5,3,2,3.844
3,6,0,0,3,2,0,3,1,3,3,1,2,4,2,2,5,3,2,4.062
2,6,2,0,2,0,3,4,0,1,3,1,0,0,4,0,0,3,1,6.806
2,6,5,1,0,0,0,0,2,1,3,1,0,0,2,2,5,3,1,6.806
1,4,2,2,1,3,0,3,1,1,2,2,1,4,2,2,4,3,1,3.971
1,4,0,3,0,3,0,1,2,3,1,4,3,2,1,2,4,3,2,3.494
2,6,4,0,2,0,0,3,1,3,3,2,1,1,2,2,5,3,2,4.206
2,4,5,2,2,2,1,1,0,3,3,2,1,4,2,2,5,2,1,4.103
3,4,4,1,2,2,1,2,0,1,3,2,1,5,5,0,0,3,1,6.184
3,4,1,0,2,0,2,2,2,1,3,0,0,0,5,0,0,3,1,7.361
3,4,0,0,3,0,1,4,0,1,3,2,1,5,4,0,0,3,1,6.184
3,4,1,0,2,0,3,4,1,1,3,2,0,0,5,0,0,3,1,7.361
1,2,1,1,0,5,0,1,0,2,2,4,2,1,1,2,4,3,1,2.83
3,4,2,0,2,0,2,3,2,2,3,2,2,5,4,0,0,3,1,6.452
1,4,2,1,1,4,1,2,0,2,4,4,2,1,1,2,5,3,2,3.085
1,4,2,0,0,3,0,3,2,3,3,4,2,1,1,2,4,3,1,3.122
3,4,5,2,1,1,1,1,0,2,3,4,2,4,2,2,4,3,1,5.475
1,3,1,1,0,5,0,1,2,3,3,4,2,1,1,2,4,2,2,2.703
1,4,0,0,0,4,0,2,2,1,4,3,3,1,1,2,4,2,1,2.737
1,3,1,0,1,1,1,2,4,2,4,4,2,4,2,1,3,3,1,5.176
3,1,5,0,2,0,0,1,0,3,4,1,1,1,1,2,4,3,2,1.407
2,3,0,0,0,1,0,2,0,2,3,2,1,1,1,1,2,3,1,2.191
2,6,1,0,2,0,2,3,2,3,3,1,0,0,5,0,0,3,1,8.056
