OF8,OF17,OF18,OF23,OF24,F51,WS_Benefit
4,1,0.07,1,3,0,10.0
4,1,0.22,1,3,2,10.0
5,4,0.13,1,2,0,1.575
4,2,0.0356,2,3,1,4.071
4,2,0.08,3,1,1,6.66
3,2,0.49,1,3,0,1.85
3,4,0.3008,1,2,2,2.602
4,2,0.51,1,2,0,3.15
4,4,0.43,1,3,0,1.075
5,4,0.52,1,3,2,2.04
5,2,0.08,1,2,0,2.075
4,4,0.59,1,3,0,1.475
3,4,0.38,3,3,2,3.76
4,4,0.07,1,3,0,0.175
4,4,0.23,1,3,0,0.575
5,4,0.72,1,3,0,1.8
4,4,0.66,1,3,0,1.65
3,4,0.079,3,2,0,3.947
4,4,0.56,1,3,0,1.4
4,4,0.46,1,0,0,1.15
4,4,0.038,2,2,0,3.22
4,4,0.7,1,3,2,2.4
3,2,0.1837,3,3,2,3.867
4,4,0.1,1,2,2,2.2
5,4,0.77,1,3,0,1.925
4,2,0.25,1,2,2,3.0
4,4,0.76,1,3,0,1.9
4,4,0.35,1,3,0,0.875
4,4,0.7,1,3,0,1.75
4,4,0.76,1,3,0,1.9
4,4,0.31,1,3,0,0.775
4,3,0.1969,2,3,2,3.894
5,2,0.322,1,2,0,2.68
4,2,0.3181,1,2,2,3.136
4,2,0.252,1,3,0,1.255
4,4,0.4,1,3,0,1.0
5,3,0.52,1,3,0,2.55
4,4,0.62,1,3,0,1.55
4,4,0.46,1,3,2,1.92
4,4,0.29,1,3,0,0.725
4,4,0.17,1,2,2,2.34
3,1,0.004,2,2,0,10.0
0,2,0.05,1,2,2,2.6
4,4,0.53,1,3,0,1.325
5,2,0.005,2,3,0,2.512
4,4,0.286,1,2,1,3.572
3,2,0.38,3,1,2,6.26
4,4,0.3122,2,2,0,3.905
4,4,0.01,1,3,2,1.02
4,4,0.47,1,3,0,1.175
4,4,0.77,1,3,1,3.54
4,2,0.279,1,3,2,2.058
4,4,0.48,1,3,0,1.2
3,2,0.016,3,2,0,4.415
3,1,0.03,1,3,0,10.0
4,2,0.09,1,3,2,1.68
4,4,0.08,1,3,0,0.2
4,4,0.16,1,3,1,2.32
4,4,0.01,2,2,1,4.52
4,1,0.005,2,3,2,10.0
4,4,0.4,1,3,0,1.0
4,2,0.03,1,3,0,0.7
3,3,0.1345,1,3,0,1.586
3,2,0.07,0,2,2,2.64
3,4,0.03,1,3,0,0.075
4,4,0.51,1,3,0,1.275
4,4,0.56,3,3,2,4.12
2,2,0.25,3,3,2,4.0
4,1,0.005,1,3,0,10.0
5,4,0.8,1,3,0,2.0
4,3,0.37,2,2,0,5.3
4,4,0.26,1,3,0,0.65
3,4,0.2,1,3,1,2.4
3,1,0.25,2,3,2,10.0
4,4,0.38,2,3,0,2.825
3,4,0.42,1,3,0,1.05
4,4,0.04,1,3,2,1.08
4,4,0.13,1,3,0,0.325
4,4,0.096,1,3,0,0.24
5,4,0.14,1,3,0,0.35
5,4,0.22,1,3,0,0.55
5,2,0.54,1,3,2,2.58
4,4,0.45,1,3,0,2.25
3,4,0.24,1,3,0,0.6
4,2,0.82,1,3,0,5.35
4,3,0.308,1,3,0,2.02
5,4,0.71,1,3,0,1.775
4,2,0.5,2,3,2,4.0
4,4,0.83,1,3,0,2.075
4,4,0.42,1,3,0,1.05
3,4,0.3,2,3,2,3.1
3,4,0.52,1,3,0,1.3
4,4,0.146,2,3,1,3.792
5,4,0.3,1,2,1,3.6
5,4,0.01,1,3,0,0.025
5,2,0.04,1,2,0,1.975
4,4,0.57,2,2,1,5.64
5,4,0.6,1,3,0,1.5
4,4,0.0787,2,3,0,2.072
4,4,0.58,1,3,0,2.9
4,4,0.58,1,3,0,1.45
5,2,0.1,1,3,2,1.7
3,4,0.03,3,3,0,2.575
5,2,0.061,0,3,0,0.777
4,2,0.469,1,2,0,3.047
4,2,0.907,1,3,0,2.893
4,2,0.03,1,3,0,0.7
4,2,0.47,1,3,0,1.8
3,4,0.26,1,2,0,1.9
3,4,0.01,2,3,0,1.9
4,2,0.0202,1,3,0,0.675
4,4,0.86,1,3,0,2.15
3,4,0.1,1,2,1,3.2
4,2,0.29,1,2,0,2.6
4,4,0.111,1,3,1,2.222
4,4,0.378,1,3,0,1.89
4,4,0.76,1,3,0,1.9
4,4,0.36,1,3,0,0.9
4,4,0.47,1,3,0,2.35
3,1,0.634,2,3,0,10.0
4,1,0.2115,3,3,0,10.0
4,2,0.127,1,3,0,0.943
4,2,0.106,1,3,0,0.89
4,2,0.49,1,3,0,1.85
4,4,0.36,2,3,1,4.22
4,2,0.3,1,3,0,1.375
4,1,0.01,2,3,0,10.0
4,2,0.16,1,3,0,1.025
4,4,0.56,1,3,0,1.4
3,4,0.6,1,3,0,1.5
3,4,0.6,1,3,0,1.5
3,4,0.39,1,2,0,2.225
4,4,0.31,1,2,0,2.025
4,4,0.26,1,3,0,0.65
4,4,0.77,1,3,0,1.925
5,4,0.73,1,3,0,1.825
4,4,0.42,1,3,0,1.05
5,4,0.54,1,2,0,2.6
4,0,0.16,1,2,0,1.65
4,4,0.41,2,2,1,5.32
5,4,0.55,1,3,0,1.375
4,2,0.025,2,3,0,2.562
5,4,0.2,1,3,0,0.5
3,4,0.005,2,3,0,1.887
5,4,0.75,1,3,0,1.875
4,3,0.28,1,3,0,1.95
3,2,0.006,1,3,0,0.64
4,4,0.49,1,3,2,1.98
5,4,0.75,1,3,0,1.875
5,4,0.82,1,3,0,2.05
4,4,0.23,1,3,1,2.46
4,4,0.16,1,3,0,0.4
3,4,0.47,1,3,0,1.175
5,2,0.001,2,2,2,4.002
5,4,0.08,1,3,0,0.2
3,2,0.01,1,2,1,3.52
5,4,0.37,1,3,0,0.925
4,2,0.212,1,3,0,1.155
5,4,0.12,1,3,2,1.24
4,2,0.28,1,2,0,2.575
2,1,0.67,1,2,2,10.0
4,4,0.156,1,3,0,0.39
5,4,0.45,1,3,0,1.125
4,2,0.17204,2,3,0,2.93
4,4,0.44,2,3,2,3.38
3,4,0.412,3,2,1,5.824
