OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F41,F42,F48,F49,F54,S5,NR,NR_Function,F44
4,0.66,1,0,4,1357,2,0,0,1,1,1,3,3,2,1,0,1,3,3,1,1,1,0,0,0,0,0,0,2,1,0,0.0,2.88,1,3
3,0.75,1,0,3,1337,2,1,0,1,5,1,1,1,3,2,1,1,3,2,0,3,1,4,0,0,0,0,0,2,0,0,0.0,2.12,0,4
4,0.73,0,0,3,1418,2,2,1,1,4,1,2,0,3,1,1,1,3,3,1,0,1,0,0,0,0,0,0,2,1,0,0.0,2.36,1,4
4,0.42,0,0,3,1340,2,2,0,0,3,0,3,2,2,2,1,2,2,3,1,1,1,0,0,0,0,1,0,2,0,0,0.0,3.17,1,3
4,0.66,1,0,3,1357,1,1,0,2,1,2,3,3,3,0,0,0,2,1,1,1,1,4,4,2,1,1,0,2,0,0,0.0,2.41,1,1
4,0.6,0,0,3,1418,3,1,0,1,0,1,2,4,2,0,0,1,2,3,1,0,1,0,0,0,0,1,0,2,0,0,0.0,2.94,1,1
4,0.55,0,0,2,1407,3,1,0,1,1,1,2,4,3,2,0,1,3,3,2,0,1,3,0,0,0,1,0,2,0,0,0.0,4.12,2,2
4,0.01,1,2,3,1426,3,0,0,0,0,0,3,4,3,1,1,1,3,2,2,1,1,4,0,0,0,0,0,2,0,0,0.0,4.04,1,2
4,0.71,0,0,3,1523,3,1,1,1,2,0,2,4,2,1,0,0,3,3,1,1,1,1,0,0,0,1,0,2,0,0,0.0,3.17,1,2
4,0.75,1,0,3,1363,2,5,0,5,0,1,1,1,2,0,1,1,3,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,0,0
2,0.45,1,0,3,1428,2,4,0,2,3,1,1,0,2,1,1,2,3,3,1,1,1,1,0,0,0,1,0,2,1,0,0.0,2.82,1,4
2,0.56,0,0,3,1345,2,3,0,2,2,1,2,2,2,1,2,2,0,3,1,1,1,1,3,2,0,1,0,2,0,0,0.0,3.27,1,3
2,0.5,1,0,3,1380,1,1,0,1,0,1,4,3,3,1,0,1,2,1,1,2,1,1,0,0,0,1,0,2,1,0,0.0,0.39,0,3
4,0.6,1,0,2,1380,0,1,0,1,0,1,2,3,3,0,0,0,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.77,2,2,3,1337,1,1,0,1,0,1,1,4,3,2,0,0,2,3,1,1,1,4,4,4,0,1,0,2,0,0,0.0,1.98,0,3
4,0.8,2,0,2,1363,0,1,0,2,0,2,2,3,1,0,0,0,2,1,0,3,1,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.4,1,3,3,1496,1,1,0,1,0,1,2,5,3,0,0,1,2,1,3,0,1,4,3,3,1,1,0,2,0,0,0.0,2.61,1,2
0,0.49,1,0,3,1421,0,2,0,2,0,3,3,2,0,0,0,0,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,-1.96,0,4
4,0.59,2,0,3,1437,0,2,0,2,0,2,4,2,2,0,0,1,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,0,0
4,0.77,2,3,3,1493,0,2,0,2,0,2,3,2,0,1,0,1,2,1,1,3,1,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.286,1,1,2,1881,2,1,1,0,4,1,2,3,3,2,0,0,2,2,3,0,1,4,3,2,2,1,0,1,0,0,0.0,3.54,1,3
4,0.42,2,3,3,1854,2,1,1,2,2,2,2,2,2,0,1,2,2,2,1,3,1,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.46,1,3,3,1730,2,2,1,1,3,0,2,3,1,1,0,1,2,2,3,0,1,4,2,1,1,1,0,2,0,0,0.0,4.9,2,4
3,0.7,2,3,3,1730,2,1,1,1,5,1,1,1,3,0,0,0,3,3,1,1,1,2,3,4,2,0,0,2,0,0,0.0,3.17,1,4
4,0.29,1,1,3,2078,2,1,1,1,1,1,2,4,2,2,0,1,4,1,3,0,1,3,2,2,1,1,0,2,0,0,0.0,3.23,1,2
2,0.01,1,1,3,1933,3,0,0,0,1,0,1,6,3,2,1,1,3,1,3,0,1,4,3,3,1,1,0,2,0,1,0.0,2.18,0,2
3,0.17,1,1,3,1933,3,0,0,0,2,0,2,4,3,0,1,1,2,1,4,0,1,4,3,1,1,1,0,1,0,0,0.0,3.14,1,2
4,0.48,1,3,1,1854,3,0,1,0,1,0,2,5,3,1,1,1,3,3,1,1,1,1,4,2,2,1,0,2,0,0,0.0,3.0,1,1
0,0.16,0,3,2,1865,3,0,0,0,0,0,2,4,3,1,0,1,4,3,2,0,1,3,4,4,1,1,0,2,0,0,0.0,2.25,1,1
3,0.23,1,3,3,1815,3,0,0,0,2,0,2,5,2,0,0,1,1,1,3,0,1,4,2,4,1,1,0,2,0,0,0.0,3.29,1,2
4,0.11,2,3,3,1954,3,0,0,0,1,0,2,5,3,0,0,1,3,3,1,0,1,3,0,0,0,1,0,2,0,0,0.0,3.86,1,2
3,0.52,2,3,3,1339,2,5,2,1,1,0,0,0,3,2,1,2,3,2,0,2,0,4,0,0,0,0,0,1,0,0,0.0,10.0,2,0
4,0.3,0,1,3,1608,2,6,1,1,0,0,0,0,3,0,0,1,3,1,1,4,1,0,0,0,0,1,0,0,1,0,0.0,1.59,0,3
4,0.54,2,1,3,1887,2,5,2,1,1,1,1,0,3,3,1,1,2,3,1,2,1,3,0,0,0,1,0,2,0,0,0.0,3.36,1,3
4,0.52,1,3,3,1985,2,4,3,1,1,1,1,0,2,2,1,1,0,2,1,2,1,1,0,0,0,1,1,2,1,0,0.0,2.0,0,3
4,0.82,2,3,3,1408,1,1,0,1,0,2,2,3,3,0,0,0,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.23,1,1,3,1624,1,2,1,0,1,0,3,4,2,1,1,2,3,2,2,1,1,4,0,0,0,0,0,2,0,1,0.0,10.0,2,2
4,0.16,2,3,3,2075,1,1,0,3,0,3,2,2,0,0,0,1,2,1,0,4,0,4,0,0,0,0,0,1,0,0,0.0,10.0,2,0
4,0.7,1,3,3,1579,3,1,1,1,1,0,3,3,3,2,0,1,3,2,2,0,2,4,3,2,2,0,0,2,0,0,0.0,3.48,1,1
2,0.51,2,3,3,1698,1,1,0,2,2,2,3,3,0,0,0,2,2,1,0,3,1,4,0,0,0,0,0,2,0,0,0.0,2.0,0,3
3,0.51,1,3,2,1624,1,0,0,0,0,0,4,2,3,2,0,0,2,1,2,1,1,4,2,0,1,0,0,2,0,0,0.0,2.549456257721821,1,3
4,0.76,2,3,3,1579,0,1,0,1,0,1,4,2,2,0,0,2,2,1,1,3,1,4,4,3,2,0,0,2,0,0,0.0,10.0,2,0
2,0.46,2,3,4,1859,1,1,0,1,0,1,2,5,3,0,0,1,2,1,3,0,1,4,2,4,1,1,0,2,0,1,0.0,2.744355814821626,1,2
2,0.53,2,3,4,1677,0,1,0,1,1,3,3,2,2,0,0,0,2,1,1,3,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
2,0.81,2,3,3,1464,0,1,0,1,0,2,3,2,3,0,0,0,2,1,0,4,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2,0
1,0.59,1,3,3,1985,1,1,0,1,0,1,4,2,3,0,0,0,3,3,1,0,1,1,3,4,2,1,0,2,0,0,0.0,1.446186753416801,0,4
2,0.04,1,2,4,1799,2,1,1,0,4,0,2,2,3,1,0,1,3,1,2,3,0,0,0,0,0,1,0,2,1,0,0.0,0.65,0,3
1,0.079,0,1,0,1666,2,2,0,1,5,0,1,1,2,3,0,2,3,2,2,2,1,0,0,2,0,1,0,2,2,5,0.3333333333333333,0.96,0,4
3,0.16,0,3,2,1632,2,1,1,0,5,0,1,2,2,1,2,2,2,3,1,1,1,0,0,0,0,1,0,1,1,0,0.0,2.784675320416935,1,3
3,0.01,0,3,3,1516,2,0,0,0,4,0,2,2,3,1,0,1,2,3,1,0,3,2,0,0,0,1,0,2,0,0,0.0,2.424686608168594,1,4
4,0.41,0,3,3,1348,2,0,0,0,4,0,2,2,3,1,0,0,3,2,1,0,2,0,0,0,0,1,0,1,0,0,0.0,2.146083939779544,0,3
3,0.42,1,1,3,1677,3,0,0,1,1,1,2,4,2,0,0,1,2,0,1,2,1,1,0,0,0,1,0,2,0,0,0.0,1.18,0,1
0,0.72,2,3,3,1455,1,1,0,1,0,1,1,4,3,0,0,0,2,3,2,0,1,4,4,3,2,1,0,1,0,0,0.0,2.386902455481337,1,0
3,0.31,1,3,3,1609,3,1,0,1,1,1,1,5,0,0,0,1,2,2,3,0,1,4,3,3,1,1,0,1,0,0,0.0,3.731104936086877,1,2
4,0.09,0,3,3,1516,3,0,0,0,0,0,2,5,3,0,0,0,2,1,3,0,1,3,2,3,0,1,0,2,0,0,0.0,2.817138574651931,1,2
4,0.57,1,3,4,1329,3,0,0,0,2,0,2,5,2,1,0,1,2,3,1,0,1,0,0,0,0,0,0,1,1,0,0.0,3.13317542991532,1,1
4,0.54,1,1,3,1486,2,4,0,2,2,1,1,1,2,0,1,2,3,2,2,1,1,4,0,0,0,1,0,1,0,0,0.0,3.538703760108813,1,4
4,0.39,1,2,3,1538,2,2,3,0,2,0,0,0,3,0,1,1,4,1,0,5,0,0,0,0,0,0,0,0,1,0,0.0,1.620797139584754,0,3
4,0.43,1,3,3,1342,2,5,2,1,1,1,1,0,2,3,1,1,2,3,1,2,1,1,0,0,0,1,1,2,1,0,0.0,1.578636405266818,0,4
1,0.0787,0,3,5,1670,1,2,0,4,0,0,3,2,1,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,1,5,0.0,10.0,2,0
1,0.1969,1,2,3,1697,1,1,0,0,1,0,4,3,3,2,0,2,1,1,3,2,0,2,4,3,2,1,0,2,0,0,0.0,1.3,0,3
4,0.77,2,3,3,1512,1,0,0,0,0,1,1,5,3,0,0,0,2,2,2,1,1,4,5,2,0,0,0,2,0,1,0.0,10.0,2,0
0,0.58,3,3,3,1551,0,2,0,3,0,3,1,2,0,0,0,1,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.58,2,3,3,1551,0,1,0,1,0,3,0,3,3,0,0,1,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.47,2,3,3,1692,0,1,0,1,0,2,1,4,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.45,3,0,3,1358,0,1,0,2,0,2,2,4,2,0,0,0,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
1,0.001,1,2,5,1945,2,0,0,0,5,0,2,1,2,3,0,2,2,1,3,2,0,3,0,0,0,0,0,2,0,0,0.0,2.17,0,3
4,0.06,1,2,3,1950,2,2,1,1,4,1,2,0,0,1,0,1,1,0,1,4,1,2,0,0,0,0,0,0,0,0,0.4166666666666667,2.006011515932103,0,0
4,0.096,0,3,5,2092,0,0,0,0,1,2,3,3,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.08,0,2,3,2254,2,3,0,3,0,2,0,2,2,3,2,2,2,1,1,3,0,2,0,0,0,0,0,0,1,0,0.4166666666666667,0.9810330611553465,0,4
4,0.07,1,1,3,2272,2,0,2,0,4,0,2,2,0,3,0,2,0,1,3,4,1,0,0,0,0,1,0,0,0,0,0.3333333333333333,3.428555185885706,1,0
4,0.01,1,1,3,2241,2,0,0,0,2,0,4,3,0,1,0,0,1,0,1,4,1,0,0,0,0,0,0,2,1,0,0.4166666666666667,0.07719848855891819,0,0
4,0.19,1,2,3,2065,2,0,0,0,3,0,2,4,0,1,0,1,3,1,1,4,1,0,0,0,0,1,0,2,0,0,0.0,2.565028976702409,1,0
4,0.03,1,1,3,1893,3,0,0,0,2,1,2,4,0,0,0,0,1,1,3,2,1,3,3,1,1,1,0,0,1,0,0.5,2.189940075290342,0,1
4,0.24,1,3,3,1955,2,2,0,2,2,1,3,2,0,0,0,1,2,1,2,3,1,1,0,0,0,0,0,0,0,0,0.0,2.498158157442558,1,0
