OF9,OF10,OF11,OF19,OF20,OF21,OF22,OF23,OF24,F13,F40,F50,F51,F52,F66,S2,NR_Benefit,NR Benefit Rating
4,2,1,1.0,3,3,1,0,2,1,0,4,0,0,29.0,0.0,10.0,2
4,2,1,0.0,3,3,1,0,2,4,0,4,0,0,101.0,0.0,0.0,0
4,2,2,0.0,3,3,0,0,2,3,0,4,0,0,20.0,0.0,0.0,0
0,0,4,0.0,3,3,0,0,2,3,0,4,0,0,85.0,0.0,10.0,2
4,2,3,0.0,0,0,1,0,2,1,1,4,0,0,52.0,0.0,10.0,2
4,2,1,0.0,3,3,0,0,2,1,0,4,0,0,33.0,0.0,4.62,1
4,2,2,0.0,3,3,0,0,2,1,0,4,0,0,63.0,0.0,4.62,1
4,2,4,0.0,3,3,1,0,2,1,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,3,0.0,3,3,0,0,2,1,0,4,0,0,61.0,0.0,4.62,1
4,2,2,0.0,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,3,0.0,3,3,1,0,2,2,0,4,0,0,50.0,0.0,3.72,1
4,2,2,0.0,3,3,0,0,2,1,2,4,0,0,68.0,0.0,4.62,1
4,2,3,0.0,3,3,1,0,2,1,0,4,0,0,22.0,0.0,3.72,1
4,2,3,0.0,3,3,1,0,2,1,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,4,0.0,3,3,2,0,2,0,0,4,0,0,101.0,0.0,0.0,0
4,2,3,0.0,3,3,2,0,2,0,0,4,0,0,112.0,0.0,0.0,0
4,2,4,0.0,3,3,1,0,2,1,1,4,0,0,137.2142857142857,0.0,3.72,1
4,2,0,0.0,3,3,1,0,2,0,0,3,1,1,55.0,0.0,0.0,0
4,2,3,0.0,3,3,2,0,2,0,0,4,0,0,53.0,0.0,0.0,0
4,2,4,0.0,3,3,2,0,2,1,0,4,0,0,96.0,0.0,0.0,0
2,1,0,0.0,3,3,1,0,1,3,2,3,0,1,360.0,0.5555555555555556,10.0,2
4,2,3,0.0,3,3,2,0,2,2,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,0,0.0,3,3,1,0,2,2,2,3,1,1,404.0,0.0,4.02,1
3,2,4,1.0,3,3,2,0,2,4,1,4,0,0,108.0,0.0,10.0,2
4,2,0,0.0,3,3,1,0,2,1,2,4,0,0,98.0,0.0,3.72,1
3,2,0,0.0,3,3,1,1,1,1,1,3,0,1,670.0,0.5555555555555556,5.81,1
0,0,0,0.0,3,3,1,0,1,1,2,2,1,1,242.0,0.0,10.0,2
4,2,0,0.0,3,3,1,0,2,0,1,4,0,0,137.2142857142857,0.0,3.72,1
3,2,0,0.0,3,3,0,0,2,1,0,3,0,1,137.2142857142857,0.3333333333333333,5.51,1
2,1,4,1.0,3,3,1,0,2,1,1,4,0,0,137.2142857142857,0.0,10.0,2
1,1,0,1.0,3,3,2,0,2,1,0,4,0,0,156.0,0.0,10.0,2
4,2,0,0.0,0,0,2,0,2,1,0,4,0,0,134.0,0.0,10.0,2
0,0,0,0.0,0,0,0,0,1,0,0,3,0,2,137.2142857142857,0.0,10.0,2
0,1,0,0.0,3,3,2,0,1,0,0,4,0,0,186.0,0.0,10.0,2
3,2,0,0.0,3,3,1,0,2,0,0,3,1,1,81.0,0.0,4.02,1
4,2,4,0.0,3,3,2,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,1,0.0,3,3,1,0,2,1,0,3,0,1,137.2142857142857,0.0,0.0,0
0,1,2,0.0,3,3,2,0,2,1,0,4,0,0,137.2142857142857,0.0,10.0,2
4,2,4,0.0,3,3,1,0,2,1,1,3,1,1,105.0,0.0,0.0,0
4,2,4,0.0,3,3,2,0,2,1,0,4,0,0,90.0,0.0,0.0,0
4,2,3,0.0,3,3,1,0,2,1,1,4,0,0,41.0,0.0,0.0,0
4,2,3,0.0,3,3,2,0,2,0,1,4,0,0,230.0,0.0,0.0,0
4,2,4,0.0,3,3,2,0,0,1,2,4,0,0,137.2142857142857,0.0,0.0,0
4,2,4,1.0,3,3,2,0,2,0,0,4,0,0,55.0,0.0,10.0,2
4,2,3,0.0,3,3,2,0,2,0,0,4,0,0,48.0,0.0,0.0,0
3,2,3,0.0,3,3,1,0,2,1,1,4,0,0,45.0,0.0,3.717948717948717,1
3,2,5,0.0,3,3,1,0,1,4,0,4,0,0,137.2142857142857,0.0,5.06,1
4,2,4,0.0,3,3,0,2,1,4,2,4,0,0,137.2142857142857,0.0,5.96,1
0,1,3,0.0,3,3,0,0,1,4,0,4,0,0,105.0,0.0,10.0,2
0,0,3,0.0,3,3,0,0,2,1,0,3,1,2,183.0,0.0,10.0,2
0,0,1,0.0,3,3,0,1,1,1,0,3,0,2,194.0,0.0,10.0,2
2,2,4,0.0,3,3,1,0,2,1,0,4,0,0,137.2142857142857,0.6666666666666666,3.72,1
4,2,4,0.0,3,3,2,0,2,0,1,4,0,0,80.0,0.0,0.0,0
3,2,2,1.0,3,3,1,0,2,1,1,4,0,0,160.0,0.0,10.0,2
2,2,4,1.0,3,3,0,0,2,1,1,3,1,1,140.0,0.0,10.0,2
1,1,2,1.0,3,3,1,1,1,1,0,2,0,2,176.0,0.4444444444444444,10.0,2
4,2,4,0.0,3,3,1,0,2,2,0,4,0,0,134.0,0.0,3.717948717948717,1
0,0,4,0.0,3,3,1,0,2,2,0,3,1,1,137.2142857142857,0.0,10.0,2
3,2,4,0.0,3,3,1,0,2,1,0,4,0,0,380.0,0.0,3.717948717948717,1
3,2,4,0.0,3,3,0,1,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
1,2,4,0.0,3,3,1,1,2,2,0,3,1,0,137.2142857142857,0.0,4.83,1
4,2,1,0.0,3,3,2,0,2,0,0,3,0,1,63.0,0.5555555555555556,0.0,0
4,2,4,0.0,3,3,3,0,2,0,0,4,0,0,58.0,0.0,0.0,0
4,2,4,0.0,3,3,2,0,2,0,0,4,0,0,51.0,0.0,0.0,0
3,2,4,0.0,3,3,2,0,2,1,0,4,0,0,52.0,0.0,0.0,0
3,2,4,0.0,3,3,3,0,2,0,0,4,0,0,64.0,0.0,0.0,0
0,1,3,0.0,3,3,1,1,1,4,0,2,1,1,137.2142857142857,0.0,10.0,2
0,1,4,0.0,3,3,1,1,2,3,0,2,0,2,137.2142857142857,0.4444444444444444,10.0,2
2,1,3,0.0,3,3,0,0,2,0,0,4,0,0,137.2142857142857,0.4444444444444444,10.0,2
0,0,3,0.0,3,3,0,0,2,1,0,4,0,0,137.2142857142857,0.0,10.0,2
0,0,4,0.0,3,3,1,0,2,2,0,4,0,0,137.2142857142857,0.4444444444444444,10.0,2
3,2,0,0.0,3,1,1,0,1,1,0,2,0,3,137.2142857142857,0.4444444444444444,5.811965811965811,1
0,0,4,0.0,3,3,1,0,1,2,0,4,0,0,137.2142857142857,0.5555555555555556,10.0,2
3,1,4,0.0,3,3,1,0,2,1,1,4,0,0,137.2142857142857,0.6666666666666666,10.0,2
3,1,4,0.0,3,3,1,0,2,1,0,4,0,0,137.2142857142857,0.0,10.0,2
0,0,4,0.0,3,3,0,0,1,1,0,4,0,0,137.2142857142857,0.6666666666666666,10.0,2
2,0,4,0.0,3,3,0,2,2,1,0,3,1,1,137.2142857142857,0.4444444444444444,10.0,2
1,1,3,0.0,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.5555555555555556,10.0,2
1,1,3,0.0,3,3,1,0,2,0,0,3,1,1,137.2142857142857,0.4444444444444444,10.0,2
3,2,4,0.0,3,3,2,0,2,1,0,3,1,0,137.2142857142857,0.0,0.0,0
0,0,0,0.0,3,3,2,1,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
2,1,3,0.0,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.4444444444444444,10.0,2
3,2,2,0.0,3,3,0,0,2,1,0,3,1,2,137.2142857142857,0.4444444444444444,3.846153846153846,1
0,1,4,0.0,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
0,1,4,0.0,3,3,1,0,1,3,0,4,0,0,137.2142857142857,0.5555555555555556,10.0,2
3,2,4,0.0,3,3,1,1,2,1,0,1,1,1,137.2142857142857,0.0,3.11965811965812,1
1,1,1,0.0,3,3,2,0,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
4,2,3,0.0,3,3,0,0,2,1,0,3,1,1,137.2142857142857,0.4444444444444444,0.0,0
4,2,5,0.0,3,3,0,0,2,1,0,4,0,0,137.2142857142857,0.4444444444444444,0.0,0
3,2,4,0.0,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.4444444444444444,5.213675213675213,1
3,1,3,0.0,3,3,2,0,1,1,0,3,1,1,137.2142857142857,0.5555555555555556,10.0,2
3,2,3,0.0,3,3,1,2,2,1,0,2,1,0,137.2142857142857,0.0,0.0,0
