OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F33,F34,F36,F38,F41,F42,F44,F49,F63,F65,PR,PR_Function
1,4,1357,1,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0.0,6.19,3.55,1
1,3,1337,2,1,3,0,3,1,0,0,0,0,0,0,0,1,0,0.0,5.578095744680851,4.22,1
0,3,1418,1,1,3,1,0,1,1,0,0,0,0,0,0,1,1,0.0,5.82,3.17,1
0,3,1340,2,2,2,1,1,1,1,0,0,0,0,1,0,1,0,0.0,7.13,3.94,1
1,3,1357,0,0,2,1,1,1,4,4,2,1,0,1,0,0,0,0.0,4.16,4.93,1
0,3,1418,0,1,2,1,0,1,1,0,0,0,0,1,0,1,0,0.0,6.17,3.33,1
0,2,1407,2,1,3,2,0,1,1,0,0,0,0,1,0,0,0,0.0,6.35,3.56,1
1,3,1426,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0.007692307692307693,6.02,5.67,2
0,3,1523,1,0,3,1,1,1,1,0,0,0,0,1,0,0,0,0.0,6.31,4.07,1
1,3,1363,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,10.0,0
1,3,1428,1,2,3,1,1,1,1,0,0,0,0,1,0,0,1,0.0,6.57,4.14,1
0,3,1345,1,2,0,1,1,1,1,3,2,0,0,1,0,1,0,0.0,6.4,3.17,1
1,3,1380,1,1,2,1,2,1,1,0,0,0,0,1,0,1,1,0.0,6.42,4.09,1
1,2,1380,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
2,3,1337,2,0,2,1,1,1,1,4,4,0,0,1,0,1,0,0.0,4.45,4.18,1
2,2,1363,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0.0,3.77,10.0,0
1,3,1496,0,1,2,3,0,1,1,3,3,1,0,1,0,0,0,0.007692307692307693,4.68,5.75,2
1,3,1421,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0.0,4.5,3.95,1
2,3,1437,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,3.65,10.0,2
2,3,1493,1,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0.0,3.69,10.0,2
1,2,1881,2,0,2,3,0,1,1,3,2,2,1,1,0,0,0,0.0,7.09,3.84,1
2,3,1854,0,2,2,1,3,1,1,0,0,0,0,0,0,0,0,0.007692307692307693,4.52,10.0,2
1,3,1730,1,1,2,3,0,1,1,2,1,1,1,1,0,0,0,0.0,7.03,4.22,1
2,3,1730,0,0,3,1,1,1,1,3,4,2,0,0,0,0,0,0.0,6.5,4.47,1
1,3,2078,2,1,4,3,0,1,1,2,2,1,0,1,0,0,0,0.0,6.33,2.55,0
1,3,1933,2,1,3,3,0,1,1,3,3,1,1,1,0,0,0,0.0,7.22,3.56,1
1,3,1933,0,1,2,4,0,1,2,3,1,1,1,1,0,0,0,0.0,7.03,4.28,1
1,1,1854,1,1,3,1,1,1,1,4,2,2,0,1,0,0,0,0.007692307692307693,5.18,4.91,1
0,2,1865,1,1,4,2,0,1,1,4,4,1,0,1,0,0,0,0.007692307692307693,4.18,2.45,0
1,3,1815,0,1,1,3,0,1,1,2,4,1,0,1,0,0,0,0.0,5.19,3.72,2
2,3,1954,0,1,3,1,0,1,1,0,0,0,0,1,0,0,0,0.0,6.33,4.1,1
2,3,1339,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0.0,6.49,10.0,2
0,3,1608,0,1,3,1,4,1,0,0,0,0,0,1,0,0,1,0.0,6.951,4.15,1
