OF20,OF21,OF22,OF23,OF24,F24,F28,F40,F50,F52,S4,SR_Benefit,SR Benefit Rating
3,3,1,0,2,1,1,0,4,0,0.0,10.0,2
3,3,1,0,2,3,1,0,4,0,0.0,0.0,2
3,3,0,0,2,0,1,0,4,0,0.0,0.0,0
3,3,0,0,2,1,1,0,4,0,0.0,4.33,1
0,0,1,0,2,1,1,1,4,0,0.0,10.0,2
3,3,0,0,2,0,1,0,4,0,0.0,4.23,1
3,3,0,0,2,0,1,0,4,0,0.0,4.26,1
3,3,1,0,2,1,1,0,4,0,0.0,0.0,0
3,3,0,0,2,1,1,0,4,0,0.0,4.17,1
3,3,1,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,1,1,0,4,0,0.0,4.12,1
3,3,0,0,2,1,1,2,4,0,0.0,4.25,1
3,3,1,0,2,2,1,0,4,0,0.0,4.09,1
3,3,1,0,2,4,0,0,4,0,0.0,0.0,0
3,3,2,0,2,1,1,0,4,0,0.0,3.75,1
3,3,2,0,2,3,1,0,4,0,0.0,0.0,0
3,3,1,0,2,0,1,1,4,0,0.0,4.15,1
3,3,1,0,2,4,0,0,3,1,0.0,0.0,0
3,3,2,0,2,4,0,0,4,0,0.0,0.0,0
3,3,2,0,2,3,1,0,4,0,0.0,0.0,0
3,3,1,0,1,0,1,2,3,1,0.0,4.58,1
3,3,2,0,2,3,1,0,4,0,0.0,0.0,0
3,3,1,0,2,0,1,2,3,1,0.0,4.24,1
3,3,2,0,2,1,1,1,4,0,0.0,10.0,2
3,3,1,0,2,0,1,2,4,0,0.0,4.22,1
3,3,1,1,1,0,1,1,3,1,0.0,4.97,1
3,3,1,0,1,0,1,2,2,1,0.8333333333333334,5.18,1
3,3,1,0,2,1,1,1,4,0,0.0,4.11,1
3,3,0,0,2,0,1,0,3,1,0.0,4.56,1
3,3,1,0,2,0,1,1,4,0,0.0,10.0,2
3,3,2,0,2,0,1,0,4,0,0.0,10.0,2
0,0,2,0,2,2,0,0,4,0,0.0,10.0,2
0,0,0,0,1,4,1,0,3,2,0.0,10.0,2
3,3,2,0,1,2,1,0,4,0,0.0,4.17,1
3,3,1,0,2,2,1,0,3,1,0.0,4.21,1
3,3,2,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,1,1,0,3,1,0.0,0.0,0
3,3,2,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,0,2,1,3,1,0.0,0.0,0
3,3,2,0,2,3,1,0,4,0,0.0,0.0,0
3,3,1,0,2,1,1,1,4,0,0.0,0.0,0
3,3,2,0,2,3,1,1,4,0,0.0,0.0,0
3,3,2,0,0,0,1,2,4,0,0.0,3.926768300360328,1
3,3,2,0,2,3,0,0,4,0,0.0,10.0,2
3,3,2,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,0,1,1,4,0,0.0,4.043344420260789,1
3,3,1,0,1,3,0,0,4,0,0.0,4.65,1
3,3,0,2,1,2,1,2,4,0,0.5,5.67,1
3,3,0,0,1,1,1,0,4,0,0.0,4.767645230789886,1
3,3,0,0,2,0,3,0,3,2,0.0,4.884221350690346,1
3,3,0,1,1,0,2,0,3,2,0.0,5.185217070105473,1
3,3,1,0,2,2,1,0,4,0,0.6666666666666666,4.52,1
3,3,2,0,2,0,1,1,4,0,0.0,3.777703753602361,1
3,3,1,0,2,0,1,1,4,0,0.0,10.0,2
3,3,0,0,2,0,1,1,3,1,0.0,10.0,2
3,3,1,1,1,0,1,0,2,2,0.0,10.0,2
3,3,1,0,2,1,1,0,4,0,0.0,4.072010679252706,1
3,3,1,0,2,5,0,0,3,1,0.0,0.0,0
3,3,1,0,2,2,1,0,4,0,0.0,4.135076449034923,1
3,3,0,1,2,5,0,0,4,0,0.5,0.0,0
3,3,1,1,2,2,0,0,3,0,0.0,4.54,1
3,3,2,0,2,1,1,0,3,1,0.0,0.0,0
3,3,3,0,2,4,0,0,4,0,0.0,0.0,0
