OF22,OF26,OF27,F17,F20,F22,F28,F29,F31,F33,F34,F35,F36,F41,F42,F44,F49,S5,SR,SR_Function
1,4,1357,1,1,3,1,1,0,0,0,0,0,0,0,1,1,0.0,3.09,0
1,3,1337,2,1,2,1,0,4,0,0,0,0,0,0,1,0,0.0,2.31,0
0,3,1418,1,1,3,1,1,0,0,0,0,0,0,0,1,1,0.0,2.78,0
0,3,1340,2,2,3,1,1,0,0,0,0,0,1,0,1,0,0.0,3.18,0
1,3,1357,0,0,1,1,4,4,4,2,4,1,1,0,0,0,0.0,3.67,1
0,3,1418,0,1,3,1,1,0,0,0,0,0,1,0,1,0,0.0,2.7,0
0,2,1407,2,1,3,1,1,3,0,0,0,0,1,0,0,0,0.0,2.25,0
1,3,1426,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0.0,3.68,1
0,3,1523,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0.0,2.11,0
1,3,1363,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1428,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0.0,2.38,0
0,3,1345,1,2,3,1,1,1,3,2,4,0,1,0,1,0,0.0,3.3,0
1,3,1380,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0.0,0.87,0
1,2,1380,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,0
2,3,1337,2,0,3,1,1,4,4,4,4,0,1,0,1,0,0.0,4.29,1
2,2,1363,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1496,0,1,1,1,1,4,3,3,4,1,1,0,0,0,0.0,3.34,0
1,3,1421,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0.0,-0.27,0
2,3,1437,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,1493,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,2,1881,2,0,2,1,1,4,3,2,3,2,1,0,0,0,0.0,3.32,0
2,3,1854,0,2,2,1,1,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1730,1,1,2,1,1,4,2,1,4,1,1,0,0,0,0.0,4.0,1
2,3,1730,0,0,3,1,1,2,3,4,4,2,0,0,0,0,0.0,4.27,1
1,3,2078,2,1,1,1,1,3,2,2,4,1,1,0,0,0,0.0,3.12,0
1,3,1933,2,1,1,1,1,4,3,3,2,1,1,0,0,0,0.0,3.14,0
1,3,1933,0,1,1,1,2,4,3,1,4,1,1,0,0,0,0.0,3.5,1
1,1,1854,1,1,3,1,1,1,4,2,3,2,1,0,0,0,0.0,3.14,0
0,2,1865,1,1,3,1,1,3,4,4,2,1,1,0,0,0,0.0,3.5,1
1,3,1815,0,1,1,1,1,4,2,4,4,1,1,0,0,0,0.0,3.62,1
2,3,1954,0,1,3,1,1,3,0,0,0,0,1,0,0,0,0.0,3.14,0
2,3,1339,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
0,3,1608,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.0,1.38,0
2,3,1887,3,1,3,1,1,3,0,0,0,0,1,0,1,0,0.0,4.14,1
1,3,1985,2,1,2,1,1,1,0,0,0,0,1,1,1,1,0.0,1.41,0
2,3,1408,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1624,1,2,2,1,1,4,0,0,0,0,0,0,1,0,0.0,10.0,2
2,3,2075,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1579,2,1,2,2,2,4,3,2,4,2,0,0,1,0,0.0,4.03,1
2,3,1698,0,2,1,1,1,4,0,0,0,0,0,0,1,0,0.0,3.86,1
1,2,1624,2,0,1,1,2,4,2,0,0,1,0,0,0,0,0.0,2.042673997309767,0
2,3,1579,0,2,1,1,1,4,4,3,4,2,0,0,0,0,0.0,10.0,2
2,4,1859,0,1,1,1,1,4,2,4,4,1,1,0,0,0,0.0,4.166230605839581,1
2,4,1677,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,1464,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1985,0,0,3,1,1,1,3,4,4,2,1,0,1,0,0.0,3.72517165213762,1
1,4,1799,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0.0,1.22,0
0,0,1666,3,2,2,1,1,0,0,2,4,0,1,0,0,2,0.3333333333333333,1.38,0
0,2,1632,1,2,3,1,2,0,0,0,0,0,1,0,1,1,0.0,2.424969987995197,0
0,3,1516,1,1,3,3,1,2,0,0,0,0,1,0,1,0,0.0,3.146157559409307,0
0,3,1348,1,0,2,2,2,0,0,0,0,0,1,0,1,0,0.0,2.364945978391357,0
1,3,1677,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0.0,1.28,0
2,3,1455,0,0,3,1,4,4,4,3,4,2,1,0,0,0,0.0,4.699519652955847,1
1,3,1609,0,1,2,1,1,4,3,3,4,1,1,0,0,0,0.0,3.979041702739614,1
0,3,1516,0,0,1,1,1,3,2,3,2,0,1,0,0,0,0.0,2.711626604170067,0
1,4,1329,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0.0,3.541416566626651,1
1,3,1486,0,2,2,1,1,4,0,0,0,0,1,0,1,0,0.0,2.323729190471368,0
1,3,1538,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0.0,4.477791116446578,1
1,3,1342,3,1,3,1,1,1,0,0,0,0,1,1,1,1,0.0,1.674192267268352,0
0,5,1670,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.44,0
1,3,1697,2,2,1,0,2,2,4,3,4,2,1,0,1,0,0.0,1.55,0
2,3,1512,0,0,2,1,1,4,5,2,3,0,0,0,0,0,0.0,10.0,2
3,3,1551,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,1551,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.398559423769507,1
3,3,1358,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,5,1945,3,2,1,0,0,3,0,0,0,0,0,0,1,0,0.0,1.87,0
1,3,1950,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0.4166666666666667,1.136591684866718,0
0,5,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.517406962785114,1
0,3,2254,3,2,1,0,1,2,0,0,0,0,0,0,1,1,0.4166666666666667,-0.5362702309839602,0
1,3,2272,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0.3333333333333333,2.132853141256503,0
1,3,2241,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.4166666666666667,1.87875150060024,0
1,3,2065,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.0,2.845138055222089,0
1,3,1893,0,0,1,1,1,3,3,1,1,1,1,0,0,1,0.5,1.772078452723602,0
1,3,1955,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0.0,1.00855703727274,0
0,3,2314,0,0,0,1,2,3,0,0,0,0,1,0,0,0,0.5,2.658599369179684,0
0,2,2254,0,0,0,1,2,3,3,3,0,2,1,0,0,0,0.4166666666666667,2.030399293968878,0
1,2,2118,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0.0,2.436974789915967,0
1,2,1950,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0.3412735576158163,0
2,5,1945,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0.0,0.76,0
2,0,2017,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0.3333333333333333,0.48,0
1,5,2236,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0.0,0.2253747884696043,0
0,2,2272,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,4.237695078031212,1
1,3,1971,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,2146,1,1,2,1,1,1,0,0,0,0,1,0,1,1,0.0,1.071415011787847,0
1,5,2141,0,2,1,0,0,4,1,0,0,0,0,0,1,0,0.0,1.583259809948076,0
2,5,2039,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,6.4,1
0,5,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.237695078031211,1
0,5,2026,2,2,2,0,0,0,0,4,1,0,0,0,1,0,0.0,1.26,0
1,5,2314,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,2140,0,2,0,1,2,4,0,0,0,0,0,0,1,0,0.0,2.501767273174329,0
1,5,2141,0,2,0,0,1,4,4,2,0,0,0,0,1,0,0.0,1.641483615821544,0
1,2,1971,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.5,1.680672268907563,0
1,5,1903,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,5.678271308523408,1
0,5,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.517406962785114,1
1,5,2039,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.04,1
2,5,2181,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.478991596638656,2
1,5,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,5.198079231692677,1
0,5,2139,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.68,1
0,5,2039,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.678271308523408,1
2,5,2038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.08,2
1,3,2272,1,0,0,1,2,4,4,1,0,2,0,0,1,1,0.4166666666666667,1.396734037849219,0
1,3,1974,3,2,2,2,1,0,0,0,0,0,1,0,1,1,0.0,3.04,0
1,3,1865,2,2,2,1,1,2,3,4,4,0,0,0,0,0,0.0,3.98,1
1,3,2034,2,2,2,1,1,2,3,1,4,0,1,0,0,1,0.0,3.15,0
1,3,1904,1,2,1,1,1,3,2,1,3,0,1,0,0,1,0.0,2.69,0
2,1,1706,0,0,4,1,1,4,0,0,0,0,1,0,0,0,0.0,3.549448393815356,1
2,4,2083,3,2,2,0,0,2,0,0,0,0,0,0,0,1,0.0,0.75,0
1,3,1846,0,2,2,2,2,3,3,3,3,2,1,0,0,1,0.0,3.72,1
1,3,1846,1,2,1,1,1,3,4,2,2,2,1,1,1,0,0.0,2.32,0
1,3,2041,3,2,2,0,1,2,3,2,4,1,1,0,1,0,0.0,1.95,0
1,1,1947,1,2,1,0,0,4,0,0,0,0,0,0,0,1,0.0,10.0,2
1,5,2077,0,2,2,1,1,3,1,0,0,0,0,0,1,1,0.0,2.72,0
1,2,2024,3,1,2,3,1,2,2,4,2,0,1,0,0,1,0.0,10.0,2
0,3,1833,0,2,1,0,1,4,4,2,4,0,0,0,1,0,0.0,1.8,0
1,4,1835,2,2,2,2,1,3,0,0,0,0,1,0,0,1,0.3333333333333333,2.28,0
2,3,1911,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,4,1669,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.54,0
0,5,2026,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
0,5,2008,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0.0,2.46,0
2,5,1824,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.48,2
0,3,1991,0,1,2,1,1,2,2,3,4,1,1,0,1,0,0.0,3.28,0
1,3,2011,3,0,2,1,1,4,0,0,0,0,0,0,0,0,0.0,3.018853841020056,0
2,3,1936,1,2,2,1,1,3,4,3,0,0,1,1,0,0,0.0,3.18,0
2,3,2188,2,2,3,1,0,4,4,4,1,2,1,0,1,0,0.0,3.78,1
1,3,1657,3,0,1,1,1,0,0,0,0,0,1,1,1,0,0.0,2.08,0
0,3,2003,1,1,3,1,1,4,0,0,0,0,1,0,1,0,0.0,3.98402734587811,1
1,3,2194,2,2,3,1,1,3,0,0,0,0,1,0,1,0,0.0,2.623794999927682,0
1,2,1757,3,2,1,0,0,0,0,0,0,0,1,1,1,0,0.0,1.12,0
2,3,1883,2,2,3,2,1,0,0,0,0,0,0,0,1,1,0.0,4.25,1
2,3,1911,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,2217,1,2,3,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
1,3,1853,0,2,1,0,1,1,2,4,4,0,0,0,0,0,0.0,2.37,0
1,3,1916,1,1,2,1,1,4,2,1,1,0,0,0,0,0,0.0,10.0,2
0,3,2009,1,1,2,1,2,4,4,2,1,2,1,0,0,0,0.0,3.054461457560648,0
1,3,2194,1,0,3,1,2,4,4,2,4,1,1,0,1,0,0.0,4.369850565010858,1
0,3,2224,0,0,3,1,1,1,2,2,3,1,0,0,0,0,0.0,3.249001623024425,0
3,5,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.56,2
1,5,1801,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.04,1
1,5,1735,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,6.94,1
2,3,1890,0,0,3,1,3,4,3,1,3,1,0,0,0,0,0.0,4.563335015589712,1
2,3,2043,0,1,2,1,1,2,0,0,0,0,0,0,1,0,0.0,2.256947959906853,0
0,3,1864,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
0,5,2146,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
3,5,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.84,2
0,5,2169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.52,1
2,3,1973,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.398559423769507,1
3,3,2079,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0.0,10.0,2
2,3,2283,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0.0,10.0,2
1,3,2147,0,2,1,1,1,3,4,2,4,0,1,0,1,1,0.0,2.69,0
1,2,2232,0,2,1,0,0,4,2,3,4,1,0,0,1,0,0.0,2.2,0
0,1,2073,0,2,1,1,2,3,3,1,3,2,1,0,0,1,0.5,1.91,0
0,1,2062,4,2,1,0,1,2,2,2,3,0,1,0,1,1,0.0,0.99,0
1,3,2082,0,0,1,1,1,4,3,2,2,1,1,0,1,0,0.5833333333333334,2.352772649507306,0
0,3,1970,3,2,2,2,2,0,0,0,0,0,1,0,0,2,0.0,2.1,0
0,1,2207,3,2,1,0,1,2,0,0,0,0,1,0,0,1,0.0,-0.49,0
0,3,2202,2,2,1,1,1,4,0,0,0,0,0,0,0,1,0.0,1.61,0
1,3,2065,3,1,1,0,2,0,0,0,0,0,1,0,1,2,0.0,0.12,0
1,5,2082,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,6.51860744297719,1
0,5,2032,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.52,1
1,5,2180,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0.5,0.89,0
0,5,2111,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.44,0
1,3,2079,0,2,1,0,1,3,0,0,0,0,1,0,0,1,0.0,0.33,0
