OF8,OF17,OF18,OF23,OF24,WS_Benefit ,WS Benefit Score 
4,3,0.66,0,2,0.0,0
4,3,0.75,0,2,0.0,0
4,3,0.73,0,2,0.0,0
3,3,0.42,0,2,0.0,0
3,3,0.66,0,2,0.0,0
4,3,0.6,0,2,0.0,0
4,3,0.55,0,2,0.0,0
4,3,0.01,0,2,0.0,0
4,3,0.71,0,2,0.0,0
4,3,0.75,0,2,0.0,0
4,3,0.45,0,2,0.0,0
3,3,0.56,0,2,0.0,0
3,3,0.5,0,2,0.0,1
3,3,0.6,0,2,0.0,0
4,3,0.77,0,2,0.0,0
4,3,0.8,0,2,0.0,0
3,3,0.4,0,2,0.0,0
3,3,0.49,0,2,0.0,0
3,3,0.59,0,2,0.0,0
3,3,0.77,0,2,0.0,0
3,3,0.286,0,1,3.52,1
3,3,0.42,0,2,0.0,1
3,3,0.46,0,2,0.0,0
3,3,0.7,0,2,0.0,0
3,3,0.29,0,2,0.0,0
3,3,0.01,1,1,4.47,1
3,3,0.17,0,1,0.0,0
3,3,0.48,0,2,0.0,0
3,3,0.16,0,2,0.0,0
3,3,0.23,0,2,0.0,0
3,3,0.11,0,2,0.0,0
2,3,0.52,0,2,0.0,0
4,3,0.3,0,1,3.55,1
4,3,0.54,0,1,0.0,0
4,3,0.52,0,2,0.0,0
4,3,0.82,0,2,0.0,0
3,3,0.23,0,2,0.0,0
3,3,0.16,0,2,0.0,0
3,3,0.7,0,2,0.0,0
4,3,0.51,0,2,0.0,0
3,3,0.51,0,2,0.0,0
3,3,0.76,0,2,0.0,0
3,3,0.46,0,0,0.0,0
3,3,0.53,0,2,0.0,0
4,3,0.81,0,2,0.0,0
3,3,0.59,0,2,0.0,0
4,1,0.04,0,1,0.0,0
2,3,0.079,2,1,3.9,1
3,0,0.16,0,1,0.0,0
3,3,0.01,0,2,0.0,0
3,3,0.41,1,1,5.280298608754666,1
2,3,0.42,0,2,0.0,0
4,3,0.72,0,2,0.0,0
3,3,0.31,0,2,0.0,0
3,1,0.09,0,2,0.0,0
3,3,0.57,1,1,5.603013233797082,2
3,3,0.54,0,2,0.0,0
3,0,0.39,0,2,10.0,2
3,3,0.43,0,2,0.0,0
3,3,0.0787,1,2,0.0,0
3,2,0.1969,1,2,3.84,1
3,3,0.77,0,2,3.485198506956227,1
3,3,0.58,0,2,0.0,0
3,3,0.58,0,2,0.0,0
2,3,0.47,0,2,0.0,0
3,3,0.45,0,2,0.0,0
4,1,0.001,1,1,3.95,1
3,3,0.06,1,2,3.565877163216831,1
3,3,0.096,0,2,0.0,0
4,3,0.08,0,2,0.0,0
3,0,0.07,0,2,10.0,2
2,1,0.01,0,1,3.465028842891076,1
3,3,0.19,0,1,0.0,0
2,3,0.03,0,2,0.0,0
2,3,0.24,0,2,0.0,0
4,3,0.13,0,1,0.0,0
3,3,0.56,2,2,4.070118764845606,1
3,3,0.19,0,2,0.0,0
3,3,0.04,0,2,0.0,0
4,1,0.1,0,2,0.0,0
3,1,0.025,1,2,0.0,0
4,3,0.14,0,2,0.0,0
4,1,0.54,0,2,0.0,0
4,3,0.37,0,2,0.0,0
4,3,2146.0,0,1,0.0,0
2,0,0.25,1,2,10.0,2
3,1,0.212,0,2,0.0,0
4,3,0.12,0,2,0.0,0
3,1,0.03,0,2,0.0,0
3,3,0.26,0,2,0.0,0
4,0,0.27,0,1,10.0,2
1,1,0.25,2,2,3.9491007804547,1
4,3,0.2,0,2,0.0,0
3,3,0.13,0,2,0.0,0
4,3,0.22,0,2,0.0,0
2,3,0.005,1,2,0.0,0
2,3,0.03,2,2,0.0,0
3,3,0.12,0,2,0.0,0
3,3,0.146,1,2,3.74,1
