OF22,OF25,OF26,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F20,F21,F22,F28,F31,F41,F42,F44,F48,F49,WS,WS_Function
1,0,4,0,0,1,1,1,3,3,1,3,3,1,0,0,0,1,2,1,2.3,0
1,0,3,1,0,1,5,1,1,1,1,3,2,1,4,0,0,1,2,0,5.86,1
0,0,3,2,1,1,4,1,2,0,1,3,3,1,0,0,0,1,2,1,2.14,0
0,0,3,2,0,0,3,0,3,2,2,2,3,1,0,1,0,1,2,0,2.19,0
1,0,3,1,0,2,1,2,3,3,0,2,1,1,4,1,0,0,2,0,4.33,1
0,0,3,1,0,1,0,1,2,4,1,2,3,1,0,1,0,1,2,0,2.06,0
0,0,2,1,0,1,1,1,2,4,1,3,3,1,3,1,0,0,2,0,5.11,1
1,2,3,0,0,0,0,0,3,4,1,3,2,1,4,0,0,0,2,0,4.91,1
0,0,3,1,1,1,2,0,2,4,0,3,3,1,1,1,0,0,2,0,5.03,1
1,0,3,5,0,5,0,1,1,1,1,3,1,0,4,0,0,0,2,0,6.35,1
1,0,3,4,0,2,3,1,1,0,2,3,3,1,1,1,0,0,2,1,5.26,1
0,0,3,3,0,2,2,1,2,2,2,0,3,1,1,1,0,1,2,0,2.48,0
1,0,3,1,0,1,0,1,4,3,1,2,1,1,1,1,0,1,2,1,4.88,1
1,0,2,1,0,1,0,1,2,3,0,2,1,0,4,0,0,0,2,0,6.27,1
2,2,3,1,0,1,0,1,1,4,0,2,3,1,4,1,0,1,2,0,2.94,1
2,0,2,1,0,2,0,2,2,3,0,2,1,1,4,0,0,0,2,0,6.85,2
1,3,3,1,0,1,0,1,2,5,1,2,1,1,4,1,0,0,2,0,1.71,0
1,0,3,2,0,2,0,3,3,2,0,2,1,0,4,0,0,2,2,0,1.15,0
2,0,3,2,0,2,0,2,4,2,1,2,1,0,4,0,0,0,2,0,6.55,2
2,3,3,2,0,2,0,2,3,2,1,2,1,1,4,0,0,0,2,0,6.93,2
1,1,2,1,1,0,4,1,2,3,0,2,2,1,4,1,0,0,1,0,4.54,1
2,3,3,1,1,2,2,2,2,2,2,2,2,1,4,0,0,0,2,0,7.46,2
1,3,3,2,1,1,3,0,2,3,1,2,2,1,4,1,0,0,2,0,5.08,1
2,3,3,1,1,1,5,1,1,1,0,3,3,1,2,0,0,0,2,0,3.01,1
1,1,3,1,1,1,1,1,2,4,1,4,1,1,3,1,0,0,2,0,1.93,0
1,1,3,0,0,0,1,0,1,6,1,3,1,1,4,1,0,0,2,0,1.71,0
1,1,3,0,0,0,2,0,2,4,1,2,1,1,4,1,0,0,1,0,3.98,1
1,3,1,0,1,0,1,0,2,5,1,3,3,1,1,1,0,0,2,0,2.4,0
0,3,2,0,0,0,0,0,2,4,1,4,3,1,3,1,0,0,2,0,2.7,1
