Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
0,0,0,0,0,0,0,0,0,0,0,0.0,55.0,55.0,0,3.86,1,0.0,0,5.2,1,0.0,0,2.0,0,0.0,0,4.54,1,0.0,0
1,1,1,0,0,0,1,0,1,1,0,0.0,20.0,20.0,1,4.03,1,0.0,0,4.0,1,0.0,0,3.48,1,0.0,0,5.12,1,0.0,0
2,2,0,1,1,0,0,0,0,2,0,17.7,127.0,109.3,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,7.080039525691701,2,0.0,0
3,3,2,2,2,1,1,1,0,0,1,12.2,80.7,68.5,2,0.2253747884696043,0,0.0,0,6.518667088919388,2,2.990880757243449,1,0.832566522426146,0,10.0,2,0.4703557312252964,0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,11.7,151.3,139.6,0,4.563335015589712,1,0.0,0,4.563335015589712,1,0.0,0,3.108100455389207,1,0.0,0,3.147939017504235,1,0.0,0
1,4,2,2,2,2,2,1,0,3,1,11.7,90.0,78.3,2,1.00855703727274,0,0.0,0,4.205566698335621,1,0.0,0,2.498158157442558,1,10.0,2,0.6024844720496896,0,0.0,0
4,3,2,2,2,0,0,1,0,2,1,11.7,67.0,55.3,2,3.517406962785114,1,0.0,0,10.0,2,0.0,0,10.0,2,10.0,2,6.640316205533598,2,0.0,0
0,0,0,3,0,3,0,0,0,0,0,10.7,56.7,46.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,7.080039525691701,2,0.0,0
0,0,2,2,2,2,0,1,0,2,1,10.3,61.3,51.0,2,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,5.479249011857707,1,10.0,2
2,5,0,1,0,0,0,0,0,0,0,10.0,98.7,88.7,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,0,0.0,0,6.55,2,0.0,0
